date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-03-26,93673,FINAL,Apponequet,4011,75.0,1,Bourne,4050,43.0,0,South Coast,South Coast,,,0
2026-03-31,94963,FINAL,Diman,4115,97.0,1,Bristol-Plymouth,4057,39.0,0,Mayflower,Mayflower,,,0
2026-04-01,95451,FINAL,Central Catholic,4081,91.0,1,Andover,4009,54.0,0,Merrimack Valley,Merrimack Valley,,,0
2026-04-01,95540,FINAL,Assabet,4016,25.0,0,Keefe Tech,4191,102.0,1,Independent,Independent,,,0
2026-04-04,97689,FINAL,Archbishop Williams,4012,112.0,1,Bishop Stang,4045,12.0,0,Catholic Central,Catholic Central,,,0
2026-04-04,97691,FINAL,Archbishop Williams,4012,90.0,1,Cardinal Spellman,4075,44.0,0,Catholic Central,Catholic Central,,,0
2026-04-04,97694,FINAL,Archbishop Williams,4012,119.0,1,Cristo Rey,4453,10.0,0,Catholic Central,Independent,,,0
2026-04-04,97697,FINAL,Cardinal Spellman,4075,87.0,1,Bishop Stang,4045,38.0,0,Catholic Central,Catholic Central,,,0
2026-04-04,97698,FINAL,Cardinal Spellman,4075,112.0,1,Cristo Rey,4453,11.0,0,Catholic Central,Independent,,,0
2026-04-04,97700,FINAL,Bishop Stang,4045,81.0,1,Cristo Rey,4453,8.0,0,Catholic Central,Independent,,,0
2026-04-06,98075,FINAL,Greater New Bedford,4156,80.0,1,West Bridgewater,4415,56.0,0,South Coast,South Coast,,,0
2026-04-07,98562,FINAL,Norton,4295,87.0,1,Millis,4251,39.0,0,Tri-Valley,Tri-Valley,,,0
2026-04-07,98570,FINAL,Foxborough,4142,52.0,0,Canton,4071,84.0,1,Hockomock,Hockomock,,,0
2026-04-07,98652,FINAL,Silver Lake,4349,75.0,1,Whitman-Hanson,4427,61.0,0,Patriot,Patriot,,,0
2026-04-08,99199,FINAL,Essex Tech,4745,72.0,1,Ipswich,4190,70.0,0,Cape Ann,Cape Ann,,,0
2026-04-08,99367,FINAL,North Middlesex,4286,56.0,0,Nashoba,4267,87.0,1,Mid-Wach,Mid-Wach,,,0
2026-04-08,99372,FINAL,Hingham,4171,73.0,1,Plymouth North,4315,63.0,0,Patriot,Patriot,,,0
2026-04-08,99375,FINAL,Central Catholic,4081,106.0,1,Billerica,4040,39.0,0,Merrimack Valley,Merrimack Valley,,,0
2026-04-08,99378,FINAL,Burlington,4065,104.0,1,Wilmington,4432,32.0,0,Middlesex,Middlesex,,,0
2026-04-08,99380,FINAL,Brookline,4059,83.67,1,Framingham,4143,52.33,0,Bay State,Bay State,,,0
2026-04-08,99381,FINAL,Brookline,4059,97.0,1,Natick,4270,39.0,0,Bay State,Bay State,,,0
2026-04-08,99382,FINAL,Framingham,4143,67.33,0,Natick,4270,67.67,1,Bay State,Bay State,,,0
2026-04-10,99944,FINAL,Ashland,4015,60.0,0,Westwood,4424,74.0,1,Tri-Valley,Tri-Valley,,,0
2026-04-14,101676,FINAL,Stoughton,4381,79.0,1,Canton,4071,57.0,0,Hockomock,Hockomock,,,0
2026-04-14,101700,FINAL,Norwell,4296,87.0,1,Middleborough,4247,49.0,0,South Shore,South Shore,,,0
2026-04-14,101772,FINAL,Waltham,4405,55.67,0,Weston,4423,89.34,1,Dual County,Dual County,,,0
2026-04-14,101775,FINAL,Wayland,4411,56.67,0,Weston,4423,88.33,1,Dual County,Dual County,,,0
