date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-03-25,91467,UPCOMING,Bedford,4031,,,Shawsheen,4346,,,Dual County,Commonwealth,4:00 P.M.,,0
2026-03-26,89876,UPCOMING,Lynnfield,4223,,,Gloucester,4150,,,Cape Ann,Northeastern,4:00 P.M.,,0
2026-03-26,90101,UPCOMING,Lexington,4209,,,Arlington Catholic,4014,,,Middlesex,Catholic Central,5:30 P.M.,,0
2026-03-26,91066,FINAL,Blackstone-Millville,4486,0,0,Ashland,4015,17,1,CMAC,Tri-Valley,4:15 P.M.,,0
2026-03-26,91614,UPCOMING,Minuteman,4255,,,Lynn Classical,4220,,,Commonwealth,Greater Boston,4:00 P.M.,,0
2026-03-26,91647,UPCOMING,Watertown,4409,,,Malden,4227,,,Middlesex,Greater Boston,4:30 P.M.,,0
2026-03-26,92034,FINAL,Seekonk,4344,15,1,Diman,4115,14,0,South Coast,Mayflower,3:45 P.M.,,0
2026-03-26,92041,FINAL,Southeastern,4358,13,1,Westport,4461,4,0,Mayflower,Mayflower,3:30 P.M.,,0
2026-03-26,92055,FINAL,West Bridgewater,4415,12,1,Bristol Aggie,4463,9,0,South Coast,Mayflower,3:30 P.M.,,0
2026-03-26,92944,FINAL,Westfield,4419,1,0,Tantasqua,4387,9,1,Independent,CMAC,,,0
2026-03-27,89519,FINAL,Dedham,4108,1,0,Braintree,4051,13,1,Tri-Valley,Bay State,4:00 P.M.,,0
2026-03-27,89571,FINAL,Durfee,4122,12,1,North Quincy/Quincy,4287,11,0,Big Three,Patriot,4:15 P.M.,,0
2026-03-27,89636,FINAL,East Boston,4125,23,1,Boston Collegiate,4592,11,0,Boston City,Charter School Athletic,4:00 P.M.,,0
2026-03-27,89672,FINAL,O’Bryant,4298,0,0,Ursuline,4448,20,1,Boston City,Catholic Conference,3:45 P.M.,,0
2026-03-27,89710,FINAL,Latin Academy,4202,17,1,Martha’s Vineyard,4235,0,0,Boston City,Cape & Islands,3:30 P.M.,,0
2026-03-27,89813,FINAL,Sandwich,4340,12,1,Notre Dame (Hingham),4449,0,0,Cape & Islands,Catholic Conference,4:00 P.M.,,0
2026-03-27,89862,UPCOMING,Hamilton-Wenham,4163,,,Swampscott,4383,,,Cape Ann,Northeastern,4:30 P.M.,,0
2026-03-27,90183,UPCOMING,Martha’s Vineyard,4235,,,Cardinal Spellman,4075,,,Cape & Islands,Catholic Central,3:00 P.M.,,0
2026-03-27,90204,UPCOMING,Central Catholic,4081,,,St. Mary’s,4374,,,Merrimack Valley,Catholic Central,3:45 P.M.,,0
2026-03-27,90232,FINAL,Roxbury Prep,4847,17,1,Cristo Rey,4453,4,0,Charter School Athletic,Catholic Central,3:30 P.M.,,0
2026-03-27,90282,FINAL,Fontbonne,4447,1,0,Bristol-Plymouth,4057,13,1,Catholic Conference,Mayflower,4:00 P.M.,,0
2026-03-27,90302,UPCOMING,Malden Catholic,4228,,,Medford,4242,,,Catholic Conference,Greater Boston,4:00 P.M.,,0
2026-03-27,91057,FINAL,Chelsea,4086,17,1,Excel Academy,4969,8,0,Greater Boston,Charter School Athletic,4:00 P.M.,,0
2026-03-27,91077,UPCOMING,Neighborhood House Charter/Codman Charter,5035,,,Pacific Rim Charter,4478,,,Charter School Athletic,Independent,3:30 P.M.,,0
2026-03-27,91694,FINAL,Attleboro,4018,13,1,Canton,4071,2,0,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-27,91726,FINAL,Franklin,4144,17,1,Oliver Ames,4302,5,0,Hockomock,Hockomock,4:00 P.M.,,0
2026-03-27,91752,FINAL,King Philip,4197,3,1,Mansfield,4230,1,0,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-27,91812,FINAL,Sharon,4345,1,0,Stoughton,4381,18,1,Hockomock,Hockomock,4:00 P.M.,,0
2026-03-27,91820,FINAL,Taunton,4388,15,1,Foxborough,4142,1,0,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-27,91882,FINAL,Norton,4295,12,1,Westwood,4424,0,0,Tri-Valley,Tri-Valley,4:45 P.M.,,0
2026-03-27,91929,UPCOMING,Holbrook,4172,,,Hull,4184,,,Mayflower,South Shore,3:30 P.M.,,0
2026-03-27,91942,FINAL,Randolph,4327,5,0,Mashpee,4237,19,1,South Shore,South Shore,4:30 P.M.,,0
2026-03-27,92037,FINAL,Abington,4002,11,1,Pembroke,4308,1,0,South Shore,Patriot,4:00 P.M.,,0
2026-03-27,92341,UPCOMING,Seekonk,4344,,,Fairhaven,4133,,,South Coast,South Coast,3:45 P.M.,,0
2026-03-27,92688,FINAL,Norwell,4296,1,0,Duxbury,4123,12,1,South Shore,Patriot,4:00 P.M.,,0
2026-03-27,93707,FINAL,West Springfield,4417,13,0,Pope Francis,4796,19,1,Independent,Independent,,,0
2026-03-27,93710,FINAL,Springfield Central,4360,0,0,Longmeadow,4214,17,1,Independent,Independent,,,0
2026-03-27,93712,FINAL,Hopkins,4531,16,1,Minnechaug,4254,7,0,Independent,Independent,,,0
2026-03-27,93717,FINAL,Greenfield,4157,16,1,South Hadley,4353,1,0,Independent,Independent,,,0
2026-03-27,93720,FINAL,Turners Falls,4396,2,0,Frontier,4146,14,1,Independent,Independent,,,0
2026-03-27,93722,FINAL,Northampton,4291,10,1,Easthampton,4130,3,0,Independent,Independent,,,0
2026-03-28,90310,FINAL,Notre Dame (Hingham),4449,2,0,Hingham,4171,6,1,Catholic Conference,Patriot,12:00 P.M.,,0
2026-03-30,89511,POSTPONED,Newton North,4279,,,Concord-Carlisle,4097,,,Bay State,Dual County,4:30 P.M.,,0
2026-03-30,89515,FINAL,Wellesley,4413,10,1,Lincoln-Sudbury,4211,3,0,Bay State,Dual County,4:45 P.M.,,0
2026-03-30,89556,FINAL,Pembroke,4308,8,0,Weymouth,4425,18,1,Patriot,Bay State,4:00 P.M.,,0
2026-03-30,89574,FINAL,Durfee,4122,3,0,Diman,4115,17,1,Big Three,Mayflower,4:15 P.M.,,0
2026-03-30,89586,FINAL,Sandwich,4340,2,0,New Bedford,4273,8,1,Cape & Islands,Big Three,4:00 P.M.,,0
2026-03-30,89664,FINAL,English High/CASH,4048,18,1,Madison Park,4225,2,0,Boston City,Boston City,3:30 P.M.,,0
2026-03-30,89696,UPCOMING,Brighton,4055,,,MATCH Charter,4594,,,Boston City,Independent,3:30 P.M.,,0
2026-03-30,89750,FINAL,Dennis-Yarmouth,4111,23,1,Martha’s Vineyard,4235,10,0,Cape & Islands,Cape & Islands,4:00 P.M.,,0
2026-03-30,89801,FINAL,Wareham,4407,2,0,Nauset,4271,8,1,Mayflower,Cape & Islands,4:30 P.M.,,0
2026-03-30,89821,FINAL,Plymouth North,4315,3,0,Monomoy,4706,4,1,Patriot,Cape & Islands,4:00 P.M.,,0
2026-03-30,90034,FINAL,Notre Dame (Hingham),4449,11,1,Archbishop Williams,4012,10,0,Catholic Conference,Catholic Central,4:00 P.M.,,0
2026-03-30,90158,FINAL,Danvers,4103,7,1,Bishop Fenwick,4043,5,0,Northeastern,Catholic Central,4:00 P.M.,,0
2026-03-30,90216,UPCOMING,Cathedral,4079,,,Salem Academy,4604,,,Catholic Central,Charter School Athletic,3:15 P.M.,,0
2026-03-30,90950,FINAL,Westwood,4424,3,0,Dedham,4108,7,1,Tri-Valley,Tri-Valley,4:15 P.M.,,0
2026-03-30,90991,UPCOMING,Neighborhood House Charter/Codman Charter,5035,,,Boston Prep,4655,,,Charter School Athletic,Charter School Athletic,3:30 P.M.,,0
2026-03-30,91068,FINAL,Hopkinton,4180,14,1,Ashland,4015,2,0,Tri-Valley,Tri-Valley,4:00 P.M.,,0
2026-03-30,91137,FINAL,Greater Lawrence,4154,9,1,Shawsheen,4346,0,0,Commonwealth,Commonwealth,4:00 P.M.,,0
2026-03-30,91170,UPCOMING,Dracut,4119,,,Greater Lowell,4155,,,Merrimack Valley,Commonwealth,3:30 P.M.,,0
2026-03-30,91278,FINAL,Holliston,4174,1,0,Norwood,4297,4,1,Tri-Valley,Tri-Valley,4:30 P.M.,,0
2026-03-30,91348,FINAL,Medway,4243,4,0,Bellingham,4033,16,1,Tri-Valley,Tri-Valley,3:30 P.M.,,0
2026-03-30,91412,FINAL,Belmont,4034,5,0,Newton South,4280,16,1,Middlesex,Dual County,4:30 P.M.,,0
