date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2025-12-22,72796,FINAL,Hingham,4171,54.0,1.0,Silver Lake,4349,46.0,0.0,Patriot,Patriot,7:30 P.M.,,0
2025-12-23,72840,FINAL,Seekonk,4344,62.0,1.0,Fairhaven,4133,31.0,0.0,South Coast,South Coast,,,0
2025-12-30,75286,FINAL,Ipswich,4190,57.0,1.0,Amesbury,4007,38.0,0.0,Cape Ann,Cape Ann,,,0
2025-12-30,77754,FINAL,Lynnfield,4223,39.0,0.0,Manchester Essex,4229,61.0,1.0,Cape Ann,Cape Ann,8:00 A.M.,,0
2025-12-30,77776,FINAL,Pentucket,4309,42.0,0.0,Triton,4395,57.0,1.0,Cape Ann,Cape Ann,,,0
2026-01-06,77736,UPCOMING,Manchester Essex,4229,,,Ipswich,4190,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-06,77746,UPCOMING,Pentucket,4309,,,Essex Tech,4745,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-06,77751,UPCOMING,Lynnfield,4223,,,Hamilton-Wenham,4163,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-06,77763,UPCOMING,North Reading,4288,,,Triton,4395,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-06,77987,FINAL,Hingham,4171,46.5,0,Whitman-Hanson,4427,53.5,1,Patriot,Patriot,,,0
2026-01-06,78003,FINAL,North Quincy/Quincy,4287,45,0,Hanover,4164,49,1,Patriot,Patriot,,,0
2026-01-06,78004,FINAL,Scituate,4343,71,1,Hanover,4164,25,0,Patriot,Patriot,,,0
2026-01-06,78085,FINAL,Fontbonne,4447,30,0,Ursuline,4448,41,1,Tri-County,Catholic Central,,,0
2026-01-06,78086,FINAL,Cristo Rey,4453,10,0,St. Mary’s,4374,96,1,Catholic Central,Catholic Central,,,0
2026-01-06,78089,FINAL,Malden Catholic,4228,36,0,Cardinal Spellman,4075,62,1,Independent,Tri-County,,,0
2026-01-06,78090,FINAL,Ursuline,4448,28,0,Bishop Fenwick,4043,57,1,Catholic Central,Catholic Central,,,0
2026-01-06,78091,FINAL,Fontbonne,4447,28,0,Bishop Fenwick,4043,54,1,Tri-County,Catholic Central,,,0
2026-01-06,78093,FINAL,Arlington Catholic,4014,32,0,St. Mary’s,4374,67,1,Catholic Central,Catholic Central,,,0
2026-01-06,78096,FINAL,Cristo Rey,4453,11,0,Arlington Catholic,4014,67,1,Catholic Central,Catholic Central,,,0
2026-01-06,78098,FINAL,Archbishop Williams,4012,45,0,Malden Catholic,4228,50,1,Catholic Central,Independent,,,0
2026-01-06,78099,FINAL,Archbishop Williams,4012,41,0,Cardinal Spellman,4075,51,1,Catholic Central,Tri-County,,,0
2026-01-07,78207,FINAL,North Andover,4283,31,0,Lowell,4216,69,1,Merrimack Valley,Merrimack Valley,,,0
2026-01-07,78209,FINAL,North Andover,4283,39.33,0,Andover,4009,60.66,1,Merrimack Valley,Merrimack Valley,,,0
2026-01-07,78223,FINAL,Billerica,4040,40.33,0,Central Catholic,4081,59.66,1,Merrimack Valley,Merrimack Valley,,,0
2026-01-08,77574,FINAL,Wellesley,4413,33,0,Newton North,4279,67,1,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,77579,FINAL,Brookline,4059,57,1,Framingham,4143,41,0,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,77583,FINAL,Braintree,4051,66,1,Walpole,4404,33,0,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,77591,FINAL,Needham,4272,62,1,Weymouth,4425,34,0,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,77619,FINAL,Natick,4270,61,1,Milton,4252,39,0,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,78261,FINAL,Old Rochester,4301,56,1,Somerset Berkley,4350,39,0,South Coast,South Coast,,,0
2026-01-08,78313,FINAL,Peabody,4306,50,1,Marblehead,4231,36,0,Northeastern,Northeastern,,,0
2026-01-08,78341,FINAL,Seekonk,4344,66,1,Joseph Case,4078,29,0,South Coast,South Coast,,,0
2026-01-13,77741,FINAL,Hamilton-Wenham,4163,27,0,Ipswich,4190,72,1,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-13,77748,UPCOMING,Essex Tech,4745,,,North Reading,4288,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-13,77757,UPCOMING,Manchester Essex,4229,,,Amesbury,4007,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-13,77761,UPCOMING,Newburyport,4276,,,Triton,4395,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-13,79815,FINAL,Nauset,4271,36.5,0,Dennis-Yarmouth,4111,63.5,1,Cape & Islands,Cape & Islands,,,0
2026-01-13,79882,FINAL,Fontbonne,4447,23,0,Arlington Catholic,4014,72,1,Tri-County,Catholic Central,,,0
2026-01-13,79883,FINAL,Cristo Rey,4453,8,0,Ursuline,4448,67,1,Catholic Central,Catholic Central,,,0
2026-01-13,79884,FINAL,Cardinal Spellman,4075,41,0,St. Mary’s,4374,59,1,Tri-County,Catholic Central,,,0
2026-01-13,79886,FINAL,Bishop Fenwick,4043,17,0,St. Mary’s,4374,83,1,Catholic Central,Catholic Central,,,0
2026-01-13,79887,FINAL,Bishop Fenwick,4043,19,0,Cardinal Spellman,4075,81,1,Catholic Central,Tri-County,,,0
2026-01-13,79889,FINAL,Arlington Catholic,4014,45,0,Malden Catholic,4228,54,1,Catholic Central,Independent,,,0
2026-01-13,79890,FINAL,Ursuline,4448,34,0,Archbishop Williams,4012,53,1,Catholic Central,Catholic Central,,,0
2026-01-13,79893,FINAL,Cristo Rey,4453,11,0,Archbishop Williams,4012,69,1,Catholic Central,Catholic Central,,,0
2026-01-14,80210,FINAL,Bishop Feehan,4042,85,1,Wareham,4407,13,0,Mayflower,Mayflower,,,0
