date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2025-12-23,72792,FINAL,North Andover,4283,129.55,1,Methuen,4246,117.85,0,Merrimack Valley,Merrimack Valley,,,0
2025-12-27,74566,FINAL,North Andover,4283,125.15,0,Tewksbury,4389,130.8,1,Merrimack Valley,Merrimack Valley,3:00 P.M.,,0
2025-12-30,75290,FINAL,North Andover,4283,132.85,1,Dracut,4119,117.4,0,Merrimack Valley,Merrimack Valley,,,0
2026-01-03,77309,FINAL,Chelmsford/B/T,4085,130.75,0,North Andover,4283,133.9,1,Merrimack Valley,Merrimack Valley,,,0
2026-01-03,77324,FINAL,Bridgewater-Raynham/West Bridgewater,4053,140.35,1,Cohasset/Norwell,4094,128.65,0,Cranberry,Cranberry,,,0
2026-01-03,77325,FINAL,Brockton/Spellman/Stoughton,4058,141.15,1,Cohasset/Norwell,4094,128.65,0,Cranberry,Cranberry,,,0
2026-01-03,77328,FINAL,Bridgewater-Raynham/West Bridgewater,4053,140.35,0,Brockton/Spellman/Stoughton,4058,141.15,1,Cranberry,Cranberry,,,0
2026-01-04,77334,FINAL,Norton,4295,131.1,1,Middleborough,4247,130.5,0,Tri-Valley,Cranberry,,,0
2026-01-05,77441,FINAL,Westford,4421,135.7,1,Newton South,4280,126.45,0,Dual County,Dual County,,,0
2026-01-06,78077,FINAL,Newton South,4280,90.65,0,Newton North,4279,142.35,1,Dual County,Bay State,,,0
2026-01-07,78139,FINAL,Central Catholic,4081,137.8,1,Chelmsford/B/T,4085,131.95,0,Merrimack Valley,Merrimack Valley,,,0
2026-01-07,78140,FINAL,Central Catholic,4081,137.8,1,Dracut,4119,110.2,0,Merrimack Valley,Merrimack Valley,,,0
2026-01-07,78141,FINAL,Chelmsford/B/T,4085,131.95,1,Dracut,4119,110.2,0,Merrimack Valley,Merrimack Valley,,,0
2026-01-07,78216,FINAL,Whitman-Hanson,4427,125.35,0,Hingham/Hull,4171,130.4,1,Patriot,Patriot,,,0
2026-01-07,78219,FINAL,Methuen,4246,112.7,0,Haverhill,4167,128.8,1,Merrimack Valley,Merrimack Valley,,,0
2026-01-07,78321,FINAL,Marshfield,4234,133.4,1,Pembroke/Silver Lake,4308,131.95,0,Patriot,Patriot,,,0
2026-01-08,78231,FINAL,Arlington,4013,124.2,0,Wakefield,4402,124.25,1,Middlesex,Middlesex,,,0
2026-01-08,78237,FINAL,Westford,4421,134.75,1,Wayland,4411,119.9,0,Dual County,Independent,,,0
2026-01-08,78312,FINAL,Wilmington/Bedford,4432,140.0,1,Stoneham,4380,125.9,0,Middlesex,Middlesex,,,0
2026-01-08,78316,FINAL,Melrose,4244,133.25,1,Burlington,4065,132.6,0,Middlesex,Middlesex,,,0
2026-01-09,78794,FINAL,Needham,4272,131.7,1,Framingham,4143,129.5,0,Bay State,Bay State,,,0
