date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-03-26,91699,FINAL,Sandwich,4340,13.0,1.0,Duxbury,4123,12.0,0.0,Cape & Islands,Patriot,4:00 P.M.,,0
2026-03-26,91732,FINAL,Norwell,4296,13.0,1.0,Scituate,4343,3.0,0.0,South Shore,Patriot,4:00 P.M.,,0
2026-03-26,91791,FINAL,Ipswich,4190,3.0,0.0,North Andover,4283,10.0,1.0,Cape Ann,Merrimack Valley,4:30 P.M.,,0
2026-03-26,91853,UPCOMING,Newburyport,4276,,,Winnacunnet (N.H.),4435,,,Cape Ann,Independent,4:30 P.M.,,0
2026-03-26,92217,FINAL,Needham,4272,10.0,0.0,King Philip,4197,15.0,1.0,Bay State,Hockomock,4:00 P.M.,,0
2026-03-26,92263,FINAL,Wilmington,4432,6.0,1.0,Pentucket,4309,5.0,0.0,Middlesex,Cape Ann,5:00 P.M.,,0
2026-03-26,92294,FINAL,Weston,4423,11.0,1.0,Natick,4270,9.0,0.0,Dual County,Bay State,4:15 P.M.,,0
2026-03-26,92305,FINAL,Brookline,4059,16.0,1.0,Watertown,4409,4.0,0.0,Bay State,Middlesex,4:00 P.M.,,0
2026-03-26,92362,FINAL,Braintree,4051,8.0,1.0,Hanover,4164,6.0,0.0,Bay State,Patriot,4:00 P.M.,,0
2026-03-26,92403,FINAL,Sturgis East,4456,2.0,0.0,Nauset,4271,19.0,1.0,Cape & Islands,Cape & Islands,4:30 P.M.,,0
2026-03-26,92415,FINAL,Martha’s Vineyard,4235,3.0,1.0,Sturgis West,4735,2.0,0.0,Cape & Islands,Cape & Islands,3:00 P.M.,,0
2026-03-26,92432,FINAL,Mashpee,4237,7.0,0.0,St. John Paul II,4689,17.0,1.0,South Shore,Cape & Islands,4:30 P.M.,,0
2026-03-26,92461,FINAL,North Quincy,4287,8.0,0.0,Archbishop Williams,4012,16.0,1.0,Patriot,Catholic Central,4:00 P.M.,,0
