date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-03-19,88111,UPCOMING,Taunton,4388,,,Weymouth,4425,,,Hockomock,Bay State,5:00 P.M.,,0
2026-03-23,88226,UPCOMING,King Philip,4197,,,Dighton-Rehoboth,4114,,,Hockomock,Tri-Valley,5:00 P.M.,,0
2026-03-23,88256,UPCOMING,Greater Lawrence,4154,,,Nipmuc,4281,,,Commonwealth,Tri-Valley,4:30 P.M.,,0
2026-03-24,88112,UPCOMING,Weymouth,4425,,,BC High,4029,,,Bay State,Catholic Conference,4:00 P.M.,,0
2026-03-24,88284,UPCOMING,Norwood,4297,,,Randolph,4327,,,Tri-Valley,Independent,4:00 P.M.,,0
2026-03-24,88340,UPCOMING,Winchester,4434,,,Billerica,4040,,,Middlesex,Merrimack Valley,4:00 P.M.,,0
2026-03-24,88360,UPCOMING,Essex Tech,4745,,,Greater Lawrence,4154,,,Commonwealth,Commonwealth,4:00 P.M.,,0
2026-03-24,88434,UPCOMING,Lynn English,4221,,,Salem Academy,4604,,,Greater Boston,Charter School Athletic,4:30 P.M.,,0
2026-03-24,88441,UPCOMING,Whittier,4428,,,Lynn English,4221,,,Commonwealth,Greater Boston,4:30 P.M.,,0
2026-03-24,88443,UPCOMING,Whittier,4428,,,Malden,4227,,,Commonwealth,Greater Boston,4:30 P.M.,,0
2026-03-24,88458,UPCOMING,Taunton,4388,,,Southeastern,4358,,,Hockomock,Independent,3:45 P.M.,,0
2026-03-24,88472,UPCOMING,Lexington,4209,,,Andover,4009,,,Middlesex,Merrimack Valley,4:45 P.M.,,0
2026-03-24,88500,UPCOMING,Wayland,4411,,,Chelmsford,4085,,,Dual County,Merrimack Valley,3:30 P.M.,,0
2026-03-24,88513,UPCOMING,Chelmsford,4085,,,Innovation Academy,4690,,,Merrimack Valley,Commonwealth,4:00 P.M.,,0
2026-03-24,88515,UPCOMING,Dracut,4119,,,Innovation Academy,4690,,,Merrimack Valley,Commonwealth,4:00 P.M.,,0
2026-03-24,88554,UPCOMING,Acton-Boxborough,4003,,,North Andover,4283,,,Dual County,Merrimack Valley,4:30 P.M.,,0
2026-03-25,88051,UPCOMING,Milford,4249,,,Natick,4270,,,Hockomock,Bay State,4:30 P.M.,,0
2026-03-25,88172,UPCOMING,Phillips Andover,4310,,,St. John’s Prep,4369,,,Independent,Catholic Conference,4:30 P.M.,,0
2026-03-25,88557,UPCOMING,Westford,4421,,,North Andover,4283,,,Dual County,Merrimack Valley,4:30 P.M.,,0
2026-03-26,87908,FINAL,Scituate,4343,0,0,Braintree,4051,3,1,Patriot,Bay State,4:00 P.M.,,0
2026-03-26,87950,FINAL,Wayland,4411,2,0,Brookline,4059,3,1,Dual County,Bay State,5:45 P.M.,,0
2026-03-26,87987,FINAL,Framingham,4143,0,0,Weymouth,4425,3,1,Bay State,Bay State,4:00 P.M.,,0
2026-03-26,88020,UPCOMING,Milton,4252,,,Southeastern,4358,,,Bay State,Independent,5:00 P.M.,,0
2026-03-26,88079,FINAL,Excel Academy,4969,3,1,Boston United,4798,1,0,Charter School Athletic,Boston City,4:00 P.M.,,0
2026-03-26,88119,POSTPONED,Brooke Charter,5071,,,Madison Park,4225,,,Charter School Athletic,Boston City,4:00 P.M.,,0
2026-03-26,88127,FINAL,BC High,4029,3,1,North Quincy,4287,1,0,Catholic Conference,Patriot,5:15 P.M.,,0
2026-03-26,88175,UPCOMING,Woburn,4438,,,St. John’s Prep,4369,,,Middlesex,Catholic Conference,4:30 P.M.,,0
2026-03-26,88196,FINAL,Pioneer Charter I,4701,0,0,Georgetown,4148,3,1,Charter School Athletic,Independent,4:15 P.M.,,0
2026-03-26,88204,UPCOMING,KIPP,4703,,,Pioneer Charter II,4964,,,Commonwealth,Charter School Athletic,5:30 P.M.,,0
2026-03-26,88242,FINAL,Hopkinton,4180,3,1,King Philip,4197,1,0,Tri-Valley,Hockomock,4:00 P.M.,,0
2026-03-26,88311,FINAL,Medford,4242,0,0,Burlington,4065,3,1,Greater Boston,Middlesex,5:30 P.M.,,0
2026-03-26,88390,FINAL,Lowell Catholic,4217,2,0,Central Catholic,4081,3,1,Commonwealth,Merrimack Valley,5:30 P.M.,,0
2026-03-26,88604,FINAL,Silver Lake,4349,0,0,Greater New Bedford,4156,3,1,Patriot,Independent,5:00 P.M.,,0
2026-03-26,92983,FINAL,Algonquin,4005,1,0,Fitchburg,4139,3,1,Mid-Wach,Mid-Wach,,,0
2026-03-26,92997,FINAL,Essex Tech,4745,0,0,Revere,4329,3,1,Commonwealth,Greater Boston,5:45 P.M.,,0
