date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-08-30,146357,FINAL,Bellingham,4033,257.0,1.0,Ashland,4015,269.0,0.0,Tri-Valley,Tri-Valley,4:00 P.M.,,0
2026-08-30,146359,FINAL,Millis,4251,310.0,0.0,Ashland,4015,269.0,1.0,Tri-Valley,Tri-Valley,4:00 P.M.,,0
2026-08-30,148041,FINAL,Bellingham,4033,257.0,1.0,Millis,4251,310.0,0.0,Tri-Valley,Tri-Valley,,,0
2026-08-31,145988,FINAL,Westwood,4424,238.0,0.0,Archbishop Williams,4012,237.0,1.0,Tri-Valley,Catholic Central,3:30 P.M.,,0
2026-08-31,146361,FINAL,Holliston,4174,230.0,1.0,Ashland,4015,240.0,0.0,Tri-Valley,Tri-Valley,3:00 P.M.,,0
2026-08-31,146373,FINAL,Bedford,4031,254.0,0.0,Lexington,4209,239.0,1.0,Dual County,Middlesex,8:30 A.M.,,0
2026-08-31,146794,FINAL,Grafton,4153,200.0,1.0,Millbury,4250,279.0,0.0,Mid-Wach,CMAC,3:00 P.M.,,0
2026-08-31,146850,FINAL,Holliston,4174,230.0,0.0,Norton,4295,206.0,1.0,Tri-Valley,Tri-Valley,3:00 P.M.,,0
2026-08-31,146981,FINAL,Westwood,4424,238.0,0.0,Medfield,4241,231.0,1.0,Tri-Valley,Tri-Valley,3:30 P.M.,,0
2026-08-31,147035,FINAL,Medway,4243,246.0,1.0,Millis,4251,352.0,0.0,Tri-Valley,Tri-Valley,3:30 P.M.,,0
2026-08-31,147238,FINAL,Catholic Memorial,4080,237.0,0.0,Billerica,4040,232.0,1.0,Catholic Conference,Merrimack Valley,3:00 P.M.,,0
2026-08-31,147271,UPCOMING,Beverly,4038,,,Bishop Fenwick,4043,,,Northeastern,Catholic Central,2:45 P.M.,,0
2026-08-31,147315,FINAL,Milton,4252,220.0,1.0,Canton,4071,235.0,0.0,Bay State,Hockomock,3:15 P.M.,,0
2026-08-31,147343,FINAL,Peabody,4306,7.0,0.0,Danvers,4103,65.0,1.0,Northeastern,Northeastern,4:00 P.M.,,0
2026-08-31,147542,FINAL,Medford,4242,22.0,0.0,Woburn,4438,50.0,1.0,Greater Boston,Middlesex,10:30 A.M.,,0
2026-08-31,147552,POSTPONED,Melrose,4244,,,Wakefield,4402,,,Middlesex,Middlesex,3:30 P.M.,,0
2026-08-31,147657,FINAL,Oakmont,4299,159.0,1.0,Shrewsbury,4348,166.0,0.0,Mid-Wach,Mid-Wach,4:00 P.M.,,0
2026-08-31,147706,FINAL,Wakefield,4402,46.5,1.0,Watertown,4409,25.5,0.0,Middlesex,Middlesex,4:30 P.M.,,0
2026-08-31,147723,UPCOMING,Southeastern,4358,,,Oliver Ames,4302,,,Mayflower,Hockomock,11:00 A.M.,,0
2026-08-31,147787,FINAL,Chelmsford,4085,237.0,0.0,Andover,4009,229.0,1.0,Merrimack Valley,Merrimack Valley,10:00 A.M.,,0
2026-08-31,148104,FINAL,Stoneham,4380,33.0,0.0,Belmont,4034,39.0,1.0,Middlesex,Middlesex,3:30 P.M.,,0
2026-08-31,148135,FINAL,Whitman-Hanson,4427,263.0,0.0,Duxbury,4123,252.0,1.0,Patriot,Patriot,3:30 P.M.,,0
2026-08-31,148436,FINAL,Malden Catholic,4228,242.0,0.0,St. John’s Prep,4369,208.0,1.0,Catholic Conference,Catholic Conference,3:30 P.M.,,0
2026-08-31,148440,FINAL,Plymouth South,4316,263.0,0.0,Hanover,4164,235.0,1.0,Patriot,Patriot,4:00 P.M.,,0
2026-08-31,148447,FINAL,Southwick,4519,176.0,0.0,Chicopee Comprehensive,4089,168.0,1.0,Valley League,Suburban,3:00 P.M.,,0
2026-08-31,148449,FINAL,Hopkins,4531,202.0,0.0,Smith Voc.,4539,169.0,1.0,Bi-County,Independent,3:00 P.M.,,0
2026-08-31,148452,FINAL,Hopedale,4507,164.0,1.0,Uxbridge,4398,209.0,0.0,CMAC,CMAC,3:15 P.M.,,0
2026-08-31,148453,FINAL,Northeast,4293,141.0,0.0,Saugus,4341,149.0,1.0,Commonwealth,Northeastern,4:00 P.M.,,0
2026-08-31,148456,FINAL,Longmeadow,4214,149.0,1.0,Agawam,4004,166.0,0.0,Valley League,Valley League,3:00 P.M.,,0
2026-08-31,148477,FINAL,Ashland,4015,240.0,0.0,Norton,4295,206.0,1.0,Tri-Valley,Tri-Valley,,,0
2026-08-31,148479,FINAL,Athol,4017,215.0,0.0,McCann Tech,4240,180.0,1.0,Independent,Bi-County,3:00 P.M.,,0
2026-08-31,148480,FINAL,Archbishop Williams,4012,237.0,0.0,Medfield,4241,231.0,1.0,Catholic Central,Tri-Valley,,,0
2026-08-31,148483,FINAL,Westfield Tech,4420,172.0,1.0,Pioneer Valley,4536,191.0,0.0,Bi-County,Bi-County,3:00 P.M.,,0
2026-08-31,148486,FINAL,Belchertown,4032,159.0,1.0,West Springfield,4417,173.0,0.0,Suburban,Valley League,,,0
2026-08-31,148489,FINAL,Frontier,4146,180.0,0.0,Hampshire,4518,151.0,1.0,Suburban,Suburban,3:00 P.M.,,0
2026-08-31,148491,FINAL,Amherst-Pelham,4008,174.0,0.0,Ludlow,4218,149.0,1.0,Suburban,Valley League,3:30 P.M.,,0
2026-08-31,148492,FINAL,Hingham,4171,222.0,1.0,Marshfield,4234,252.0,0.0,Patriot,Patriot,,,0
2026-08-31,148518,FINAL,Silver Lake,4349,241.0,1.0,Plymouth North,4315,253.0,0.0,Patriot,Patriot,3:30 P.M.,,0
2026-08-31,148868,FINAL,Pembroke,4308,235.0,1.0,North Quincy,4287,252.0,0.0,Patriot,Patriot,3:30 P.M.,,0
2026-08-31,149064,FINAL,Nauset,4271,254.0,1.0,Barnstable,4024,249.0,0.0,Cape & Islands,Pioneer,3:30 P.M.,,0
2026-08-31,149177,FINAL,West Bridgewater,4415,128.0,0.0,Brockton,4058,42.0,1.0,South Coast,Big Three,2:45 P.M.,,0
2026-08-31,149306,FINAL,Fairhaven,4133,253.0,1.0,New Bedford,4273,309.0,0.0,South Coast,Big Three,3:15 P.M.,,0
2026-08-31,149460,FINAL,Mt. Everett,4533,210.0,0.0,Mt. Greylock,4262,161.0,1.0,Berkshire,Berkshire,3:30 P.M.,,0
2026-08-31,149554,FINAL,Monument Mtn.,4260,186.0,0.0,Mt. Greylock,4262,161.0,1.0,Berkshire,Berkshire,3:30 P.M.,,0
2026-08-31,150313,UPCOMING,Taconic,4385,,,Wahconah,4401,,,Berkshire,Berkshire,3:30 P.M.,,0
2026-09-01,145991,UPCOMING,Archbishop Williams,4012,,,Bishop Fenwick,4043,,,Catholic Central,Catholic Central,3:45 P.M.,,0
2026-09-01,146195,FINAL,Algonquin,4005,198.0,0.0,Wachusett,4400,190.0,1.0,Mid-Wach,Mid-Wach,3:30 P.M.,,0
2026-09-01,146330,FINAL,Framingham,4143,277.0,0.0,Natick,4270,237.0,1.0,Bay State,Bay State,3:30 P.M.,,0
2026-09-01,146374,FINAL,Bedford,4031,237.0,1.0,Wayland,4411,255.0,0.0,Dual County,Dual County,5:20 P.M.,,0
2026-09-01,146795,FINAL,Westborough,4418,189.0,1.0,Grafton,4153,214.0,0.0,Mid-Wach,Mid-Wach,3:15 P.M.,,0
2026-09-01,146818,POSTPONED,Marlborough,4233,,,Groton-Dunstable,4160,,,Mid-Wach,Mid-Wach,4:00 P.M.,,0
2026-09-01,146997,FINAL,Hopkinton,4180,244.0,1.0,Westwood,4424,257.0,0.0,Tri-Valley,Tri-Valley,3:00 P.M.,,0
2026-09-01,147052,FINAL,Nashoba,4267,194.0,1.0,Shrewsbury,4348,204.0,0.0,Mid-Wach,Mid-Wach,3:30 P.M.,,0
2026-09-01,147200,FINAL,Bishop Stang,4045,178.0,1.0,Arlington Catholic,4014,176.0,0.0,Catholic Central,Catholic Central,3:00 P.M.,,0
2026-09-01,147346,FINAL,St. Mary’s,4374,174.0,1.0,Danvers,4103,170.0,0.0,Catholic Central,Northeastern,1:00 P.M.,,0
2026-09-01,147442,FINAL,Lynnfield,4223,194.0,1.0,Essex Tech,4745,175.0,0.0,Cape Ann,Cape Ann,1:15 P.M.,,0
2026-09-01,147545,FINAL,Medford,4242,18.0,0.0,Stoneham,4380,54.0,1.0,Greater Boston,Middlesex,10:30 A.M.,,0
2026-09-01,147555,FINAL,Melrose,4244,52.0,1.0,Watertown,4409,19.0,0.0,Middlesex,Middlesex,10:00 A.M.,,0
2026-09-01,147584,FINAL,Brookline,4059,225.0,1.0,Milton,4252,227.0,0.0,Bay State,Bay State,3:30 P.M.,,0
2026-09-01,147610,FINAL,North Reading,4288,159.0,0.0,Newburyport,4276,181.0,1.0,Cape Ann,Cape Ann,3:30 P.M.,,0
