team,elo
Brookline,1715.1366011219259
Weston,1672.0354593502095
Keefe Tech,1665.298992750536
Greater New Bedford,1610.687500975577
Hingham,1606.6470447882082
Attleboro,1602.4916311586662
Burlington,1596.897818025343
Bishop Feehan,1594.2095403597157
Newton North,1587.451091950711
Diman,1583.9323715657765
Central Catholic,1574.4342665385418
Dover-Sherborn,1572.2274127528021
North Andover,1564.4804457762177
Somerset Berkley,1563.9160582521085
Sharon,1560.9525086007175
Archbishop Williams,1560.1910270495664
Ayer Shirley,1559.7087839236478
Wellesley,1559.070899186162
Cardinal Spellman,1557.135112093662
Nauset,1555.7606715890954
Somerville,1554.8014663797992
Hudson,1554.6191072019947
Arlington Catholic,1553.1336164555887
North Reading,1549.299028491913
Oliver Ames,1548.4979060083872
Stoughton,1548.3781333692295
Norwell,1547.0991386104386
Westwood,1546.426524300608
Uxbridge,1546.4223451673638
Joseph Case,1542.8364811554147
Walpole,1541.7235194391214
Amesbury,1540.4764614358883
Nashoba,1538.0583590923811
Hamilton-Wenham,1537.7564929086984
Melrose,1523.9884810479077
Leominster,1521.3578482014614
West Bridgewater,1519.9689743674744
Canton,1513.6954519752128
Lynnfield,1511.467021502296
Dighton-Rehoboth,1498.487705441496
Silver Lake,1497.9123532642411
Weymouth,1493.0695844813101
Chelmsford,1490.0355599011357
Wakefield,1486.0790849486534
Natick,1480.5804463700129
Norton,1477.8062433919713
Abby Kelley Foster,1476.5891918867512
Mansfield,1473.962745324265
Bishop Fenwick,1472.9015170877196
Plymouth North,1469.1724030504142
Parker Charter,1469.1578093430207
Blue Hills,1468.4888839800822
Boston Latin,1464.9601557334825
Essex Tech,1464.8248480689672
Lowell,1463.9218262286643
Billerica,1453.8930965468674
Blackstone Valley,1453.5776548326362
Ashland,1453.573475699392
Andover,1453.2348050085732
Middleborough,1452.9008613895614
Seekonk,1452.2579220976565
Millis,1449.9663438552266
Watertown,1448.193219391961
Bristol-Plymouth,1447.5787444541413
Everett,1445.1985336202008
Wilmington,1444.8413965861348
Sandwich,1444.2393284109046
North Middlesex,1440.5837927061575
Tyngsborough,1440.2912160763522
Foxborough,1440.0562466664717
Waltham,1439.2099006765168
Milford,1439.0474913992825
Whitman-Hanson,1426.2681988971365
Bishop Stang,1425.4571889809165
Assabet,1425.3090477677806
Wayland,1423.7944842397912
Needham,1422.9575714149378
Framingham,1418.5320231874823
Apponequet,1413.2424191844407
Advanced Math and Science,1409.0258510499168
Milton,1404.3727632861862
Bourne,1398.602938525832
Ipswich,1396.1761475922372
Braintree,1377.1054995621503
North Attleborough,1359.9190963152714
Cristo Rey,1349.9707871553273
