team,elo
Norwell,1646.5174474516605
North Reading,1610.6061155769125
St. John’s Prep,1609.9715261189328
Boston International,1608.2803832638929
Lowell,1605.4373342402803
Dover-Sherborn,1596.6462719563738
Hingham,1592.9445833026743
Oliver Ames,1589.654036459439
Medfield,1585.1418575796502
Masconomet,1584.0479993315053
Beverly,1581.8352569819006
Northampton,1578.2824252446496
Keefe Tech,1578.1777460029673
Dartmouth,1577.9810995911662
Westfield Tech,1577.1916331350035
Westport,1576.8596543211597
Cohasset,1575.9978588310328
Hamilton-Wenham,1575.2399361342236
CASH,1575.0930393384401
St. John’s (Shrewsbury),1574.6159453041496
Marblehead,1574.4779493868446
Sutton,1573.3835205072348
Bromfield,1572.7199788507878
Weymouth,1572.3639476445826
Tyngsborough,1569.2095144941488
Old Rochester,1568.2482622501382
Abington,1568.2449032921434
Newton South,1566.9851685027654
Natick,1566.4521278183852
Mansfield,1566.4146853068175
Lexington,1564.9770567633802
Holliston,1564.476050021143
Concord-Carlisle,1564.3463669169312
Revere,1564.0065301256288
BC High,1563.532370820429
Hampden Charter East,1563.2487355854394
St. Mary’s,1562.986270760951
Arlington,1562.5204221203617
Somerset Berkley,1561.3906228397889
Rockland,1560.0502921583914
Blackstone Valley,1559.6952115629365
Framingham,1558.8981562922124
Northeast,1558.307871717558
Middlesex,1557.770598357448
Nobles,1557.070531454168
Greater New Bedford,1555.9156446558272
Scituate,1555.816222241199
West Springfield,1554.7387520998643
New Mission/English High,1553.9410328115323
Southeastern,1553.538035106131
St. John Paul II,1553.0209537683081
Duxbury,1552.953633937212
Wakefield,1552.4426225316731
Methuen,1551.8589034725126
Needham,1551.833446139493
Central Catholic,1551.2470618036941
Pembroke,1551.1513740524265
Marshfield,1551.0232276922632
Ashland,1547.8682920537146
Smith Voc.,1547.7230466972874
Hyde,1547.0728504755841
Ayer Shirley,1546.4817268338318
Franklin,1545.9451422378113
Northbridge,1545.2683925353897
East Boston,1545.1593426589116
North Andover,1544.8419860237946
Greater Lowell,1544.70056094329
Lynnfield,1544.633164383661
Gardner,1544.5148994573774
Greater Lawrence,1542.6409777979068
Monument Mtn.,1542.5710997737042
Bishop Feehan,1542.558972758773
Nantucket,1541.4421932885973
Pope Francis,1540.7008913724862
New Bedford,1540.5628898288094
Frontier,1540.3046894699005
Monomoy,1539.917227595152
Concord Academy,1539.6545848578423
Madison Park,1538.2477629183775
Wayland,1537.5505785893452
Martha’s Vineyard,1536.7042737526913
Turners Falls,1536.5723873473014
O’Bryant,1535.9846328043357
Mt. Greylock,1535.8436560950415
Milford,1535.1052668994816
Littleton,1535.009574467595
Manchester Essex,1533.6324505927118
Upper Cape,1533.4603136435849
Chicopee,1533.3713529307881
Durfee,1533.11395565133
Hampshire,1533.0688243715836
Dighton-Rehoboth,1532.2134375066325
Watertown,1531.8548406937311
Monson,1531.7455669860788
Taft,1531.719170044464
Granby,1531.6740649802082
Millbrook (N.Y.),1531.5559682828305
Springfield International,1530.5508920310058
Winchester,1530.3223985835773
Pioneer Valley Christian,1530.3085327681695
Amherst-Pelham,1529.8816147794635
Bridgewater-Raynham,1529.6625081150758
Minuteman,1528.9287038004647
Maynard,1528.8985004068757
Longmeadow,1527.728265410254
Advanced Math and Science,1527.553802538637
Plymouth North,1527.5390180686659
Reading,1526.1825197153705
Newburyport,1526.1797186324627
Cambridge,1526.0330507445583
Uxbridge,1525.2865901364517
Brighton,1525.1305910149613
Nashoba,1524.9266777504545
Ipswich,1524.68793875348
Cape Cod Tech,1524.256957841447
Oxford,1524.2187079346638
Weston,1523.502421313738
Holbrook,1522.9589266780442
Somerville,1522.7941826887327
Hopedale,1522.3383809964605
Taconic,1521.9069303911615
South Hadley,1521.7168122918047
McCann Tech,1521.1679863407292
Mount St. Charles (R.I.),1521.1202227934052
Dedham,1521.0044538970299
Nipmuc,1520.461530339875
Waltham,1520.1483262677095
Latin Academy,1520.1409995311622
Auburn,1519.4770621877196
St. Sebastian’s,1519.4513727458123
Wahconah,1519.325834626497
Leicester,1518.8185762575015
South High,1518.3727590998483
Grafton,1518.3237615501516
Vermont Academy,1518.270255540256
Lawrence Academy,1517.8980492434237
East Bridgewater,1517.7739784831597
