date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2026-03-26,93673,FINAL,Apponequet,4011,75,1,Bourne,4050,43,0,South Coast,South Coast,,,0,2026,1500.0,1500.0,1544.951473510466,1455.048526489534,0.5714631174083814,0.4285368825916186,2.0,32.0
2026-03-31,94963,FINAL,Diman,4115,97,1,Bristol-Plymouth,4057,39,0,Mayflower,Mayflower,,,0,2026,1500.0,1500.0,1552.4212555458587,1447.5787444541413,0.5714631174083814,0.4285368825916186,2.0,58.0
2026-04-01,95451,FINAL,Central Catholic,4081,91,1,Andover,4009,54,0,Merrimack Valley,Merrimack Valley,,,0,2026,1500.0,1500.0,1546.7651949914268,1453.2348050085732,0.5714631174083814,0.4285368825916186,2.0,37.0
2026-04-01,95540,FINAL,Assabet,4016,25,0,Keefe Tech,4191,102,1,Independent,Independent,,,0,2026,1500.0,1500.0,1425.3090477677806,1574.6909522322194,0.5714631174083814,0.4285368825916186,2.0,-77.0
2026-04-04,97689,FINAL,Archbishop Williams,4012,112,1,Bishop Stang,4045,12,0,Catholic Central,Catholic Central,,,0,2026,1500.0,1500.0,1559.3324807721533,1440.6675192278467,0.5714631174083814,0.4285368825916186,2.0,100.0
2026-04-04,97691,FINAL,Archbishop Williams,4012,90,1,Cardinal Spellman,4075,44,0,Catholic Central,Catholic Central,,,0,2026,1559.3324807721533,1500.0,1599.4880313391632,1459.8444494329901,0.6523462239112207,0.34765377608877934,4.373299230886132,46.0
2026-04-04,97694,FINAL,Archbishop Williams,4012,119,1,Cristo Rey,4453,10,0,Catholic Central,Independent,,,0,2026,1599.4880313391632,1500.0,1641.4017782267858,1458.0862531123773,0.7027697623371397,0.2972302376628603,5.979521253566527,109.0
2026-04-04,97697,FINAL,Cardinal Spellman,4075,87,1,Bishop Stang,4045,38,0,Catholic Central,Catholic Central,,,0,2026,1459.8444494329901,1440.6675192278467,1506.9930997516935,1393.5188689091433,0.5982585799957202,0.4017414200042798,2.7670772082057375,49.0
2026-04-04,97698,FINAL,Cardinal Spellman,4075,112,1,Cristo Rey,4453,11,0,Catholic Central,Independent,,,0,2026,1506.9930997516935,1458.0862531123773,1557.135112093662,1407.944240770409,0.6386140029627417,0.36138599703725827,3.956273865572648,101.0
2026-04-04,97700,FINAL,Bishop Stang,4045,81,1,Cristo Rey,4453,8,0,Catholic Central,Independent,,,0,2026,1393.5188689091433,1407.944240770409,1451.4923225242248,1349.9707871553273,0.5510178373260992,0.4489821626739008,1.422985125549376,73.0
