team,elo
Westfield,1584.9436169104092
Marlborough,1576.2152300293671
Brookline,1566.8338363091098
Boston United,1558.6605500669211
Weymouth,1558.4641656828076
Lynn Classical,1558.160660108964
Barnstable,1554.8337109606027
Norton,1553.5627429831704
Lowell,1553.1536644655894
Braintree,1548.5046060543584
Wayland,1547.9854175611242
Taunton,1542.9144419583706
Belchertown,1539.4149742576094
Burlington,1538.9858538671713
Milton,1538.743468136044
Innovation Academy,1537.4253123080389
Revere,1536.7865575503106
Greater New Bedford,1534.8240886909914
Methuen,1534.6712220568893
Brockton,1533.9359705678069
Natick,1533.7692193913872
Ayer Shirley,1533.59219325274
Nipmuc,1533.0885875193203
Pioneer Valley Christian,1532.2222226755678
Malden,1531.308391823156
Granby,1531.1249046207113
Hopkinton,1529.8141559050227
Westford,1529.6044057693587
Greater Lowell,1528.008479030095
Haverhill,1525.1442575359683
Assabet,1523.766482917537
Dracut,1522.3615442584112
Lawrence,1522.3615442584112
Milford,1521.562407332489
Billerica,1520.5793693513854
Chicopee Comprehensive,1520.3835390173774
Needham,1518.8740338449827
Athol,1518.8740338449827
Springfield International,1518.834492099163
Chicopee,1518.0010507192235
Agawam,1517.8316483123422
Chelsea,1517.741617229667
Chelmsford,1517.556732718766
Lynn English,1516.525048656545
Waltham/Weston,1515.011597523739
North Andover,1511.8832414587685
North Middlesex,1510.5531128190319
Bellingham,1509.7103122118874
Quincy,1509.5036166070133
Bay Path,1509.4235966887716
O’Bryant,1508.2783236662976
Belmont,1507.146497604406
Central Catholic,1507.1066093871132
East Longmeadow,1506.9805252704648
Winchester,1506.63895143034
Lincoln-Sudbury,1504.5553477306457
Greater Lawrence,1503.9075853865638
Ware,1501.833464039332
Dighton-Rehoboth,1501.3777746184314
Pioneer Charter I,1501.3777746184314
North Quincy,1501.2462408434646
Newton North,1501.146921602191
King Philip,1500.6596930230608
Medfield,1500.465897456701
Excel Academy,1500.0542691254382
Phillips Andover,1500.0
Pioneer Charter II,1500.0
Boston Latin,1500.0
Salem Academy,1500.0
Prospect Hill,1500.0
Walpole,1500.0
Andover,1500.0
Keefe Tech,1500.0
Worcester South,1500.0
Southeastern,1500.0
Foxborough Charter,1500.0
Catholic Memorial,1500.0
Codman Charter,1500.0
Fitchburg,1499.3702053221014
Whittier,1499.1516026897928
Libertas Academy,1498.948314071077
St. John’s (Shrewsbury),1498.6568575157958
Minnechaug,1496.7941055501497
Collegiate Charter,1495.0607136575484
Algonquin,1493.5960915333862
Newton South,1492.9152047207967
Medford,1491.4707811886074
Westwood,1488.379058199494
Lowell Catholic,1488.1167585412315
KIPP,1487.967367066984
Somerville,1486.7165992774956
Ludlow,1486.6974432953484
Durfee,1485.5566098248428
Madison Park,1485.448894581476
Longmeadow,1484.8542832025673
Lexington,1482.3564528357238
Woburn,1481.4778071108915
Brooke Charter,1481.399429280354
Nashoba Valley Tech,1481.3059688389615
West Springfield,1481.1166657587348
Millis,1480.4266603893113
Duggan Academy,1480.3441880446082
Shrewsbury,1478.6814725925767
Acton-Boxborough,1477.9040709388828
New Bedford,1476.4912374517612
Wakefield,1476.233517082463
Randolph,1476.1565946268609
Springfield Central,1476.0231660087225
Argosy Collegiate,1474.8557424640317
Salem,1474.8557424640317
Doherty,1474.5779051367729
BC High,1473.0852876559718
Xaverian,1473.070889299028
Leominster,1473.005136907536
Latin Academy,1469.9111420684928
Wellesley,1467.7138027268627
Attleboro,1466.9583771442317
Wachusett,1466.6484980118146
Burncoat,1466.40780674726
Putnam,1465.3916944368682
Commerce,1464.1766013647168
Norwood,1463.1266693458945
Worcester Tech,1462.3383113257516
Cambridge,1461.161038621031
Lynn Tech,1461.1134070850437
Arlington,1461.1049530067078
Academy/Pacific Rim,1460.7780275553087
Frontier,1459.7608617849799
Holyoke,1459.5728815592872
Hingham,1458.9292600519766
Georgetown,1458.7914096022134
Essex Tech,1458.6539776594873
Southwick,1457.1123126662078
South Lancaster,1453.871972824052
Everett,1453.871972824052
Silver Lake,1446.6275344105331
St. John’s Prep,1435.6835461735557
Nashoba,1433.4372690219016
Scituate,1427.784566859169
Framingham,1425.191474274321
