team,elo
Tewksbury,1644.4907379860367
Nauset,1642.9994277278558
Xaverian,1628.5885641527263
Hanover,1626.213153187417
Catholic Memorial,1607.6844635666466
Pembroke,1603.2950354523236
Canton,1601.2874595111161
Falmouth,1596.1330088232824
Peabody,1595.8406893297597
Martha’s Vineyard,1595.8218028838437
Marlborough,1595.789708438529
Waltham,1594.5077526068155
Minnechaug,1591.3040491739637
Shawsheen,1589.6378023848752
St. John Paul II,1587.4449094633578
Taunton,1587.3958397089546
Groton-Dunstable,1586.9687569463424
Abington,1585.7921017189142
Holliston/Ashland,1585.064712605326
Medfield,1583.2989788647133
St. John’s (Shrewsbury),1578.7531878918428
Holderness,1578.2814020218689
St. Bernard’s,1578.0705046870726
Medway,1576.0734197348631
Lunenburg/Ayer Shirley,1575.8102621130975
Hingham,1574.8445590827205
Nashoba,1572.7784045773485
Littleton/Bromfield,1572.4860626161815
St. John’s Prep,1569.6887730475821
King Philip,1567.1332100114523
Arlington Catholic,1562.7638258533586
Burlington,1560.1035740772013
Sandwich,1559.30965127164
Haverhill,1554.189754348442
Newburyport,1553.0792699814456
Nashoba  Tech/Greater Lowell,1552.399021028417
North Reading,1552.1189248599335
St. Mark’s,1551.0974454918714
Dracut/Tyngsborough,1550.3904994665013
Norwell,1549.2314099691691
Methuen,1548.4679500708357
Greater New Bedford,1547.65893811214
Walpole,1547.0600566817118
Middleborough,1546.184239217512
Reading,1544.8294279209229
Bridgewater-Raynham,1544.2877552539737
BC High,1544.2449016357743
Wachusett,1543.2852384556704
Northeast,1543.0004018465972
Woburn,1541.8227432318959
Chelmsford,1541.5601794125876
Archbishop Williams,1541.5415067159392
Bishop Stang,1539.3793549105724
Bishop Guertin (N.H.),1538.9813825443653
Diman,1537.7449716163142
Whitman-Hanson,1537.6224451367018
Hudson,1535.6928019238287
Newton North,1535.4114783838677
Arlington,1534.5693353375966
Acton-Boxborough,1533.9117589804084
McCann Tech,1533.0432310535562
Ludlow,1531.7792543035946
Austin Prep,1531.3009814915397
Barnstable,1530.9431142707183
Weymouth,1530.6874814618632
Amherst-Pelham,1530.5530534759346
Longmeadow,1529.4058433336104
Rivers,1528.2047438122488
Westfield,1524.5811547102026
Pope Francis,1523.5981919098072
Tabor,1522.9986817112517
Dennis-Yarmouth,1522.2865985789626
Keene (N.H.),1521.9552883943525
Wakefield,1521.654303210071
Beverly,1519.3193292094647
Choate,1519.1159080504494
Salisbury (Conn.),1518.6790435547498
Thayer,1518.6221809933727
Phillips Andover,1517.4002930859124
Belmont Hill,1516.6298597971615
St. Sebastian’s,1516.6185404649573
St. Mary’s,1516.0479800223525
Essex Tech,1515.880333229181
BB&N,1515.672222081037
Dexter Southfield,1515.0594190907084
Frederick Gunn (Conn.),1514.6964731037601
Millbrook (N.Y.),1514.6964731037601
Concord-Carlisle,1514.3042832671888
Middlebury (Vt.),1514.0158230334061
Billerica,1513.7285835640373
Don Bosco Prep (N.J.),1513.359528736053
Amesbury/Whittier,1513.264280514627
Scituate,1512.6096467715352
Norton,1512.5510144164741
Avon Old Farms,1512.2184972957898
St. George’s,1512.0437371115215
Bishop Fenwick,1511.5287335372363
Winthrop,1510.8727581585326
Kimball Union,1510.717271777375
Winchester,1509.8174390016113
Worcester,1508.972241552685
Stoneham,1508.3274818002014
Lincoln-Sudbury,1508.3205387438454
Foxborough,1508.2964920676482
Dover-Sherborn/Weston,1508.0969613452557
Medford,1508.0782831063093
Hotchkiss,1507.99768923305
Hopkinton,1507.8592783733493
Milton,1507.3912448584938
Governor’s Academy,1506.821723246353
Nobles,1504.828769231339
Phillips Exeter,1504.214965341431
Wilmington,1503.7866832133413
Timberlane (N.H.),1502.7555
Darien (Conn.),1502.7555
Moses Brown (R.I.),1502.7555
Brattleboro (Vt.),1502.7555
Berwick,1502.7555
Gloucester,1501.994412608579
Mansfield,1500.5381708673904
North Middlesex,1499.4248989155433
Brookline,1499.3277094235043
Dartmouth,1498.209691594891
Melrose,1498.0776126086869
Lynnfield,1497.7773535891297
Weston,1497.5053622909315
Kent,1497.2114930193409
Westminster,1494.7937282226253
Pingree,1494.7550480204807
North Yarmouth (Maine),1494.3006964966858
West Springfield,1493.7696612562675
Duxbury,1493.7153753328034
Auburn,1493.3488388446224
St. Paul’s,1493.2925027042104
Needham,1492.847366184826
North Andover,1492.1579524228102
Northwood (N.Y.),1491.6469163554495
Hoosac School,1491.3620864613213
Bourne,1491.080161460519
La Salle (R.I.),1490.81452689624
Loomis Chaffee (Conn.),1490.81452689624
Stanstead (Canada),1490.81452689624
Tilton,1490.6013505390422
Hopedale,1490.4552980151625
Northfield Mt. Hermon,1490.3694367447715
Fairfield Prep (Conn.),1489.8759566476203
Notre Dame (West Haven),1489.5812686364038
Brooks,1488.8924595350427
Oakmont,1488.7442447163
Kents Hill,1488.6195383472734
Pentucket,1488.3094656312687
Malden Catholic,1488.2192899214451
Boston Latin,1487.6625075891554
Marshfield,1487.4975228618707
Academie Saint-Louis (Que.),1486.8226716188287
Assabet,1485.7832950245374
Everett/Revere,1484.7772091919262
Nantucket,1484.5929212330873
Monomoy/Mashpee,1484.3647857999365
Wellesley,1483.25670637055
Shrewsbury,1482.5644719785357
Proctor,1481.7611222135156
Framingham,1481.4440554105738
South Shore Voc-Tech,1480.974882685586
Westborough,1480.9153234672385
Worcester Academy,1480.0111688327786
East Longmeadow,1478.8469847237293
St. Thomas Aquinas (N.H.),1478.0837267268585
Oliver Ames,1477.9290764087364
Latin Academy,1477.8772539878914
Easthampton,1477.046514475954
Hull/Cohasset,1475.814023753851
Westwood,1475.67241331167
East/West Bridgewater,1475.1637217864493
Norwood,1474.4635967329205
North Attleborough,1474.2192969435655
Canterbury,1474.119117337232
Cambridge,1474.1166517288539
Hebron (Maine),1473.415370502018
Cushing,1473.1657225930526
Brewster Academy,1472.850693033031
Milton Academy,1472.1844872492957
Taconic,1471.660192955874
Lawrence Academy,1471.5210152900172
North Quincy/Quincy,1468.3747335337848
Minuteman,1468.3571852489963
Stoughton/Brockton,1468.1802273163414
Bishop Feehan,1468.0370590352045
Blackstone Valley,1466.6294939192985
Somerset Berkley,1466.3082586141059
Lowell,1466.3005190222457
Tri-County,1465.6401432624025
Plymouth North,1463.2685497880368
Natick,1461.8011797586528
Chicopee,1461.5994055284048
Oyster River (N.H.),1461.3517452466263
Andover,1461.1173714356637
Lynn,1460.0535184587848
Danvers,1459.9077815824191
Rockport,1459.3699555502265
East Catholic (Conn.),1459.15467877619
Blue Hills,1457.285085959744
Burrillville (R.I.),1456.3880110333846
Belmont,1455.9341713283688
Scarborough (Maine),1454.929998281475
Fitchburg/Monty Tech,1454.7198021402799
Southeastern/B-P,1453.8131228359853
Greenfield,1451.5929835586062
Dedham,1448.824873901317
East Greenwich (R.I.),1448.8089084743979
Newton South,1446.686362300763
Lexington,1445.9233022798749
Algonquin,1445.1977450559598
ORR/Fairhaven,1442.8900451132058
Gardner,1442.4146610012415
Watertown,1441.7460895833729
Plymouth South,1440.445280066742
Rockland,1439.177195770665
Bellingham,1438.6240705442194
Keefe Tech,1434.187846901478
Attleboro,1432.8265875942
Braintree,1432.462536412545
Bedford,1424.6972148596783
Central Catholic,1418.6122629192257
Westford,1418.2238144667333
Franklin,1417.861592326326
Apponequet/Old Colony,1417.6932683819794
Northbridge,1411.8150949839119
Marblehead,1403.0244285292476
Masconomet,1401.6017819426645
Silver Lake,1399.1257006059834
Grafton,1398.1875550844393
Upper Cape,1388.8594932712717
Leominster,1380.9942670647315
East Boston,1367.1235334508558
Agawam,1362.7667696378342
Somerville,1353.676720491374
Triton,1332.7371729884596
