date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2024-12-04,16657,FINAL,Middlesex,4248,58.0,1.0,Portsmouth Abbey,4320,34.0,0.0,ISL,EIL,,,0,2024,1500.0,1500.0,1541.3822103431562,1458.6177896568438,0.5714631174083814,0.4285368825916186,2.5,24.0
2024-12-06,16212,FINAL,Winsor,4436,34.0,0.0,Phillips Exeter,4311,46.0,1.0,EIL,Independent,,,0,2024,1500.0,1500.0,1456.0267813257121,1543.9732186742879,0.5714631174083814,0.4285368825916186,2.5,-12.0
2024-12-06,16331,FINAL,Concord Academy,4096,33.0,0.0,Middlesex,4248,54.0,1.0,EIL,ISL,,,0,2024,1500.0,1541.3822103431562,1452.4845460863362,1588.89766425682,0.5123994534814613,0.4876005465185387,0.43088948284218986,-21.0
2024-12-10,23356,FINAL,Mystic Valley,4264,35.0,1.0,Lynn Tech,4222,21.0,0.0,Commonwealth,Commonwealth,,,0,2024,1500.0,1500.0,1534.8149817324584,1465.1850182675416,0.5714631174083814,0.4285368825916186,2.5,14.0
2024-12-11,18068,FINAL,Austin Prep,4020,57.0,0.0,Mount St. Charles (R.I.),4488,72.0,1.0,Independent,Independent,,,0,2024,1500.0,1500.0,1452.467034164926,1547.532965835074,0.5714631174083814,0.4285368825916186,2.5,-15.0
2024-12-11,18069,FINAL,Pingree,4312,52.0,1.0,Dana Hall,4102,37.0,0.0,EIL,EIL,,,0,2024,1500.0,1500.0,1535.6446958321194,1464.3553041678806,0.5714631174083814,0.4285368825916186,2.5,15.0
2024-12-11,18074,FINAL,Brooks,4060,45.0,0.0,Lawrence Academy,4204,58.0,1.0,ISL,ISL,,,0,2024,1500.0,1500.0,1454.7562821419588,1545.2437178580412,0.5714631174083814,0.4285368825916186,2.5,-13.0
2024-12-11,18181,FINAL,Holderness,4173,38.0,0.0,Cushing,4101,48.0,1.0,Independent,Independent,,,0,2024,1500.0,1500.0,1458.8907387656348,1541.1092612343652,0.5714631174083814,0.4285368825916186,2.5,-10.0
2024-12-11,18344,FINAL,Middlesex,4248,59.0,1.0,Governor’s Academy,4152,52.0,0.0,ISL,ISL,,,0,2024,1588.89766425682,1500.0,1608.2439448676482,1480.6537193891718,0.6898801878123519,0.31011981218764806,6.944883212841001,7.0
2024-12-11,18442,FINAL,Rivers,4330,47.0,1.0,Groton,4544,39.0,0.0,ISL,ISL,,,0,2024,1500.0,1500.0,1528.2477531217605,1471.7522468782395,0.5714631174083814,0.4285368825916186,2.5,8.0
2024-12-11,18902,FINAL,Winsor,4436,35.0,0.0,Concord Academy,4096,41.0,1.0,EIL,EIL,,,0,2024,1456.0267813257121,1452.4845460863362,1422.3752291036221,1486.1360983084262,0.576449230170037,0.423550769829963,2.677111761968797,-6.0
2025-12-03,66699,FINAL,Holderness,4173,63.0,1.0,Groton,4544,29.0,0.0,Independent,ISL,4:00 P.M.,,0,2025,1474.1067949729752,1482.7240054084205,1521.1147633726384,1435.7160370087572,0.5592745765284227,0.4407254234715773,2.0691394782277372,34.0
2025-12-03,66705,FINAL,Portsmouth Abbey,4320,37.0,0.0,Middlesex,4248,56.0,1.0,EIL,ISL,,,0,2025,1473.9239190700853,1574.1734430613244,1435.442075947741,1612.6552861836687,0.42818516040366367,0.5718148395963363,-2.5124761995619567,-19.0
2025-12-05,66665,UPCOMING,Muniz,5018,,,Boston Collegiate,4592,,,Boston City,Charter School Athletic,4:00 P.M.,,0,2025,1522.3411051715782,1501.65,,,0.6003516934319559,0.39964830656804406,3.534555258578905,
2025-12-05,66702,FINAL,Middlesex,4248,29.0,0.0,Concord Academy,4096,41.0,1.0,ISL,EIL,,,0,2025,1612.6552861836687,1492.3611858666457,1556.7009610427376,1548.3155110075768,0.7271660806629943,0.27283391933700574,8.514705015851154,-12.0
2025-12-06,66905,FINAL,Nobles,4282,38.0,0.0,Tilton,4391,42.0,1.0,ISL,Independent,,,0,2025,1501.65,1501.65,1474.0579677985552,1529.242032201445,0.5714631174083814,0.4285368825916186,2.5,-4.0
2025-12-06,65854,UPCOMING,Archbishop Williams,4012,,,Milton,4252,,,Catholic Central,Bay State,10:15 A.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-06,66670,UPCOMING,Excel Academy,4969,,,Boston Prep,4655,,,Charter School Athletic,Charter School Athletic,10:00 A.M.,,0,2025,1451.170851658404,1501.65,,,0.4993104505442225,0.5006895494557775,-0.023957417079805053,
2025-12-06,67293,UPCOMING,Muniz,5018,,,Charlestown,4084,,,Boston City,Boston City,5:00 P.M.,,0,2025,1522.3411051715782,1501.65,,,0.6003516934319559,0.39964830656804406,3.534555258578905,
2025-12-06,67206,FINAL,Brewster Academy,4052,50.0,1.0,Lawrence Academy,4204,45.0,0.0,Independent,ISL,,,0,2025,1501.65,1531.9632909648876,1527.0051253855563,1506.6081655793314,0.5283011694927254,0.47169883050727457,0.9843354517556235,5.0
2025-12-06,65832,UPCOMING,Archbishop Williams,4012,,,Newton North,4279,,,Catholic Central,Bay State,10:15 A.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-06,67107,FINAL,Pingree,4312,38.0,1.0,Portsmouth Abbey,4320,22.0,0.0,EIL,EIL,3:30 P.M.,,0,2025,1525.53194620752,1435.442075947741,1551.766377928287,1409.2076442269738,0.6913465556014436,0.30865344439855635,7.004493512988949,16.0
2025-12-06,67104,FINAL,Middlesex,4248,60.0,1.0,Deerfield,4110,24.0,0.0,ISL,Independent,,,0,2025,1556.7009610427376,1501.65,1594.969194540268,1463.3817665024696,0.6467358676905224,0.3532641323094776,5.252548052136876,36.0
2025-12-07,67475,FINAL,Tabor,4384,73.0,1.0,St. George’s,4367,51.0,0.0,ISL,ISL,,,0,2025,1501.65,1501.65,1541.9602475003499,1461.3397524996503,0.5714631174083814,0.4285368825916186,2.5,22.0
2025-12-07,67482,FINAL,Greenwich CD (Conn.),5041,37.0,0.0,Lawrence Academy,4204,46.0,1.0,Independent,ISL,,,0,2025,1501.65,1506.6081655793314,1462.658505612795,1545.5996599665366,0.5644596951174938,0.43554030488250617,2.252091721033435,-9.0
2025-12-08,66625,UPCOMING,Mansfield,4230,,,Norton,4295,,,Hockomock,Tri-Valley,3:15 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-08,66224,UPCOMING,Mystic Valley,4264,,,Chelsea,4086,,,Commonwealth,Greater Boston,4:30 P.M.,,0,2025,1524.9760377607472,1501.65,,,0.603985318077246,0.396014681922754,3.6663018880373555,
2025-12-08,65868,UPCOMING,Abington,4002,,,Weymouth,4425,,,South Shore,Bay State,5:15 P.M.,,0,2025,1501.65,1439.2876101996353,,,0.6562912234107363,0.3437087765892637,5.618119490018239,
2025-12-09,67355,UPCOMING,Belmont,4034,,,Boston United,4798,,,Middlesex,Boston City,4:15 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-09,66617,UPCOMING,Millis,4251,,,Westborough,4418,,,Tri-Valley,Mid-Wach,6:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-09,66525,UPCOMING,Westwood,4424,,,Fontbonne,4447,,,Tri-Valley,Catholic Conference,5:30 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-09,65856,UPCOMING,Dedham,4108,,,Milton,4252,,,Tri-Valley,Bay State,5:30 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-09,65825,UPCOMING,Natick,4270,,,Medfield,4241,,,Bay State,Tri-Valley,5:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-09,65781,UPCOMING,Framingham,4143,,,Waltham,4405,,,Bay State,Dual County,6:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-09,65835,UPCOMING,Newton North,4279,,,Arlington,4013,,,Bay State,Middlesex,4:15 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-09,66540,UPCOMING,Bellingham,4033,,,Attleboro,4018,,,Tri-Valley,Hockomock,6:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-10,68686,UPCOMING,Cohasset,4094,,,Hanover,4164,,,South Shore,Patriot,4:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-10,66219,UPCOMING,Greater Lawrence,4154,,,Winthrop,4437,,,Commonwealth,Northeastern,5:30 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-10,66593,UPCOMING,Bishop Feehan,4042,,,Medfield,4241,,,Catholic Central,Tri-Valley,4:45 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-10,66885,UPCOMING,Oakmont,4299,,,Westford,4421,,,Mid-Wach,Dual County,6:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-10,67409,UPCOMING,Wareham,4407,,,Greater New Bedford,4156,,,Mayflower,South Coast,4:30 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-10,68670,UPCOMING,Middleborough,4247,,,Taunton,4388,,,South Shore,Hockomock,5:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-10,68690,UPCOMING,West Bridgewater,4415,,,Hull,4184,,,South Coast,South Shore,4:30 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-10,68723,FINAL,Thayer,4390,52.0,0.0,St. Mark’s,4372,59.0,1.0,ISL,ISL,3:30 P.M.,,0,2025,1501.65,1501.65,1466.0002756236945,1537.2997243763057,0.5714631174083814,0.4285368825916186,2.5,-7.0
2025-12-10,69376,FINAL,Lawrence Academy,4204,59.0,1.0,Brooks,4060,57.0,0.0,ISL,ISL,,,0,2025,1545.5996599665366,1471.3367090351123,1556.4240278413959,1460.512341160253,0.6715745252287901,0.32842547477120987,6.2131475465712125,2.0
2025-12-11,66805,UPCOMING,Lincoln-Sudbury,4211,,,Hopkinton,4180,,,Dual County,Tri-Valley,4:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-11,68453,UPCOMING,Bourne,4050,,,Carver,4077,,,South Coast,South Shore,5:30 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-11,68537,UPCOMING,Nantucket,4265,,,Monomoy,4706,,,Cape & Islands,Cape & Islands,5:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-11,68602,UPCOMING,Quincy,4326,,,Oliver Ames,4302,,,Patriot,Hockomock,4:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-11,68642,UPCOMING,Whitman-Hanson,4427,,,Norwell,4296,,,Patriot,South Shore,6:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-11,69052,UPCOMING,Maynard,4239,,,Chelmsford,4085,,,Mid-Wach,Merrimack Valley,4:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-11,68750,FINAL,Notre Dame (Worcester),4451,15.0,0.0,Leominster,4208,63.0,1.0,Independent,Mid-Wach,6:00 P.M.,,0,2025,1501.65,1501.65,1434.9290472014545,1568.3709527985457,0.5714631174083814,0.4285368825916186,2.5,-48.0
2025-12-11,67237,UPCOMING,King Philip,4197,,,Fontbonne,4447,,,Hockomock,Catholic Conference,6:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-11,67180,UPCOMING,Roxbury Prep,4847,,,Randolph,4327,,,Charter School Athletic,South Shore,5:00 P.M.,,0,2025,1501.65,1501.65,,,0.5714631174083814,0.4285368825916186,2.5,
2025-12-11,69057,FINAL,Mahar,4226,40.0,1.0,Narragansett,4266,34.0,0.0,Independent,Mid-Wach,7:00 P.M.,,0,2025,1501.65,1501.65,1526.6668280723868,1476.6331719276134,0.5714631174083814,0.4285368825916186,2.5,6.0
