date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2024-12-11,18172,FINAL,Tri-County,4392,45.0,0.0,Bishop Feehan,4042,55.0,1.0,Mayflower,Mayflower,,,0,2024,1500.0,1500.0,1458.8907387656348,1541.1092612343652,0.5714631174083814,0.4285368825916186,2.0,-10.0
2024-12-11,40162,FINAL,Diman,4115,77.0,1.0,Wareham,4407,22.0,0.0,Mayflower,Mayflower,,,0,2024,1500.0,1500.0,1551.7503499464763,1448.2496500535237,0.5714631174083814,0.4285368825916186,2.0,55.0
2024-12-11,43409,FINAL,Southeastern,4358,78.0,1.0,Bishop Stang,4045,21.0,0.0,Mayflower,Mayflower,,,0,2024,1500.0,1500.0,1552.2014876904148,1447.7985123095852,0.5714631174083814,0.4285368825916186,2.0,57.0
2025-12-11,69463,FINAL,Nauset,4271,56.0,1.0,Martha’s Vineyard,4235,44.0,0.0,Cape & Islands,Cape & Islands,,,0,2025,1501.65,1501.65,1534.6252620495584,1468.6747379504418,0.5714631174083814,0.4285368825916186,2.0,12.0
2025-12-11,69468,FINAL,Newton North,4279,32.0,0.0,Walpole,4404,68.0,1.0,Bay State,Bay State,,,0,2025,1501.65,1501.65,1439.7448077880372,1563.555192211963,0.5714631174083814,0.4285368825916186,2.0,-36.0
2025-12-11,69529,FINAL,Milton,4252,48.0,0.0,Needham,4272,52.0,1.0,Bay State,Bay State,,,0,2025,1501.65,1501.65,1474.0579677985552,1529.242032201445,0.5714631174083814,0.4285368825916186,2.0,-4.0
2025-12-11,69530,FINAL,Framingham,4143,41.0,0.0,Wellesley,4413,54.0,1.0,Bay State,Bay State,,,0,2025,1501.65,1501.65,1456.4062821419589,1546.8937178580413,0.5714631174083814,0.4285368825916186,2.0,-13.0
2025-12-11,69532,FINAL,Natick,4270,20.0,0.0,Brookline,4059,80.0,1.0,Bay State,Bay State,,,0,2025,1501.65,1501.65,1431.1736161892065,1572.1263838107936,0.5714631174083814,0.4285368825916186,2.0,-60.0
2025-12-11,69534,FINAL,Braintree,4051,41.0,0.0,Weymouth,4425,59.0,1.0,Bay State,Bay State,,,0,2025,1501.65,1501.65,1451.170851658404,1552.1291483415962,0.5714631174083814,0.4285368825916186,2.0,-18.0
2025-12-11,69553,FINAL,Norton,4295,60.66,1.0,Medfield,4241,34.33,0.0,Tri-Valley,Tri-Valley,,,0,2025,1501.65,1501.65,1544.1778073860235,1459.1221926139767,0.5714631174083814,0.4285368825916186,2.0,26.33
2025-12-12,69589,FINAL,Old Rochester,4301,70.0,1.0,Apponequet,4011,25.0,0.0,South Coast,South Coast,,,0,2025,1501.65,1501.65,1550.87142145838,1452.4285785416203,0.5714631174083814,0.4285368825916186,2.0,45.0
2025-12-12,69652,FINAL,Somerset Berkley,4350,74.0,1.0,Dighton-Rehoboth,4114,21.0,0.0,South Coast,South Coast,3:30 P.M.,,0,2025,1501.65,1501.65,1552.9328036406707,1450.3671963593295,0.5714631174083814,0.4285368825916186,2.0,53.0
2025-12-15,69944,FINAL,Marshfield,4234,61.0,1.0,Whitman-Hanson,4427,35.0,0.0,Patriot,Patriot,,,0,2025,1501.65,1501.65,1544.0216296826409,1459.2783703173593,0.5714631174083814,0.4285368825916186,2.0,26.0
2025-12-16,70033,FINAL,Arlington Catholic,4014,20.0,0.0,Archbishop Williams,4012,65.0,1.0,Catholic Central,Catholic Central,,,0,2025,1501.65,1501.65,1436.012179563707,1567.2878204362933,0.5714631174083814,0.4285368825916186,2.0,-45.0
2025-12-16,70036,FINAL,Cristo Rey,4453,10.0,0.0,St. Mary’s,4374,92.0,1.0,Catholic Central,Catholic Central,,,0,2025,1501.65,1501.65,1425.8938671281344,1577.4061328718658,0.5714631174083814,0.4285368825916186,2.0,-82.0
2025-12-16,70032,FINAL,Bishop Fenwick,4043,9.0,0.0,Cardinal Spellman,4075,77.0,1.0,Catholic Central,Tri-County,,,0,2025,1501.65,1501.65,1429.0609289233125,1574.2390710766877,0.5714631174083814,0.4285368825916186,2.0,-68.0
2025-12-17,70213,FINAL,Bishop Feehan,4042,79.0,1.0,Bishop Stang,4045,19.0,0.0,Mayflower,Mayflower,,,0,2025,1529.1932050270248,1466.6750032474222,1571.5565596789604,1424.3116485954865,0.65649351734241,0.34350648265759,4.500728071184103,60.0
2025-12-17,70347,FINAL,North Andover,4283,63.0,1.0,Billerica,4040,37.0,0.0,Merrimack Valley,Merrimack Valley,,,0,2025,1501.65,1501.65,1544.0216296826409,1459.2783703173593,0.5714631174083814,0.4285368825916186,2.0,26.0
2025-12-18,70887,FINAL,Brookline,4059,57.0,1.0,Braintree,4051,43.0,0.0,Bay State,Bay State,,,0,2025,1572.1263838107936,1451.170851658404,1594.2305061851748,1429.0667292840228,0.727920819619167,0.272079180380833,6.838221286095586,14.0
2025-12-18,70638,FINAL,Apponequet,4011,34.0,0.0,Somerset Berkley,4350,61.0,1.0,South Coast,South Coast,,,0,2025,1452.4285785416203,1552.9328036406707,1409.6604451933172,1595.7009369889738,0.4278262155249525,0.5721737844750475,-2.020169003962019,-27.0
2025-12-18,70640,FINAL,Canton,4071,18.0,0.0,Stoughton,4381,82.0,1.0,Hockomock,Hockomock,,,0,2025,1501.65,1501.65,1430.0847491242673,1573.2152508757329,0.5714631174083814,0.4285368825916186,2.0,-64.0
2025-12-18,70659,FINAL,Attleboro,4018,83.0,1.0,Sharon,4345,17.0,0.0,Hockomock,Hockomock,,,0,2025,1501.65,1501.65,1555.7059760210939,1447.5940239789063,0.5714631174083814,0.4285368825916186,2.0,66.0
2025-12-18,70660,FINAL,Foxborough,4142,22.0,0.0,Mansfield,4230,74.0,1.0,Hockomock,Hockomock,,,0,2025,1501.65,1501.65,1433.5837381818067,1569.7162618181935,0.5714631174083814,0.4285368825916186,2.0,-52.0
2025-12-18,70663,FINAL,King Philip,4197,38.0,0.0,Franklin,4144,61.0,1.0,Hockomock,Hockomock,,,0,2025,1501.65,1501.65,1447.1657835245317,1556.1342164754685,0.5714631174083814,0.4285368825916186,2.0,-23.0
2025-12-18,70665,FINAL,Milford,4249,21.0,0.0,Taunton,4388,73.0,1.0,Hockomock,Hockomock,,,0,2025,1501.65,1501.65,1433.5837381818067,1569.7162618181935,0.5714631174083814,0.4285368825916186,2.0,-52.0
2025-12-18,70666,FINAL,Oliver Ames,4302,67.0,1.0,North Attleborough,4284,33.0,0.0,Hockomock,Hockomock,,,0,2025,1501.65,1501.65,1547.357933243965,1455.9420667560353,0.5714631174083814,0.4285368825916186,2.0,34.0
2025-12-18,70714,FINAL,West Bridgewater,4415,30.0,0.0,Seekonk,4344,64.0,1.0,South Coast,South Coast,,,0,2025,1501.65,1501.65,1440.6974913992826,1562.6025086007176,0.5714631174083814,0.4285368825916186,2.0,-34.0
2025-12-18,70883,FINAL,Walpole,4404,77.0,1.0,Needham,4272,23.0,0.0,Bay State,Bay State,,,0,2025,1563.555192211963,1529.242032201445,1609.3578858945089,1483.4393385188991,0.6190093547221989,0.38099064527780113,3.3725264004207203,54.0
2025-12-18,70884,FINAL,Natick,4270,55.0,1.0,Wellesley,4413,44.0,0.0,Bay State,Bay State,,,0,2025,1431.1736161892065,1546.8937178580413,1475.4148976713047,1502.6524363759431,0.40653328652711296,0.593466713472887,-2.6288040667533914,11.0
2025-12-18,70885,FINAL,Newton North,4279,76.33,1.0,Framingham,4143,23.66,0.0,Bay State,Bay State,,,0,2025,1439.7448077880372,1456.4062821419589,1493.7724699121907,1402.3786200178054,0.54783128213678,0.45216871786322,1.333541025843133,52.67
2025-12-19,70907,FINAL,Oliver Ames,4302,67.0,1.0,North Attleborough,4284,33.0,0.0,Hockomock,Hockomock,4:00 P.M.,,0,2025,1547.357933243965,1455.9420667560353,1580.1055728199133,1423.194427180087,0.6929729615818095,0.30702703841819046,5.656634659517185,34.0
