date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2026-03-25,91467,UPCOMING,Bedford,4031,,,Shawsheen,4346,,,Dual County,Commonwealth,4:00 P.M.,,0,2026,1520.691105171578,1470.397720870392,,,0.6404539893263144,0.35954601067368563,4.0117353720474425,
2026-03-26,91066,FINAL,Blackstone-Millville,4486,0.0,0.0,Ashland,4015,17.0,1.0,CMAC,Tri-Valley,4:15 P.M.,,0,2026,1500.0,1500.0,1450.4477743429054,1549.5522256570946,0.5714631174083814,0.4285368825916186,2.0,-17.0
2026-03-26,90101,UPCOMING,Lexington,4209,,,Arlington Catholic,4014,,,Middlesex,Catholic Central,5:30 P.M.,,0,2026,1534.0774564081398,1515.6723312757047,,,0.5971902933732169,0.40280970662678306,2.7362050052974065,
2026-03-26,91614,UPCOMING,Minuteman,4255,,,Lynn Classical,4220,,,Commonwealth,Greater Boston,4:00 P.M.,,0,2026,1584.6010456874626,1500.0,,,0.6845639077478323,0.31543609225216773,5.384041827498504,
2026-03-26,91647,UPCOMING,Watertown,4409,,,Malden,4227,,,Middlesex,Greater Boston,4:30 P.M.,,0,2026,1430.2728192155546,1479.308894828422,,,0.5013871951436573,0.49861280485634274,0.038556975485307704,
2026-03-26,89876,UPCOMING,Lynnfield,4223,,,Gloucester,4150,,,Cape Ann,Northeastern,4:00 P.M.,,0,2026,1497.0234065418504,1534.3332790104655,,,0.5182544446151879,0.4817455553848121,0.5076051012553944,
2026-03-26,92041,FINAL,Southeastern,4358,13.0,1.0,Westport,4461,4.0,0.0,Mayflower,Mayflower,3:30 P.M.,,0,2026,1500.0,1500.0,1529.602279129608,1470.397720870392,0.5714631174083814,0.4285368825916186,2.0,9.0
2026-03-26,92055,FINAL,West Bridgewater,4415,12.0,1.0,Bristol Aggie,4463,9.0,0.0,South Coast,Mayflower,3:30 P.M.,,0,2026,1500.0,1500.0,1517.8223479160597,1482.1776520839403,0.5714631174083814,0.4285368825916186,2.0,3.0
2026-03-26,92944,FINAL,Westfield,4419,1.0,0.0,Tantasqua,4387,9.0,1.0,Independent,CMAC,,,0,2026,1500.0,1500.0,1462.3310158016739,1537.6689841983261,0.5714631174083814,0.4285368825916186,2.0,-8.0
2026-03-26,92034,FINAL,Seekonk,4344,15.0,1.0,Diman,4115,14.0,0.0,South Coast,Mayflower,3:45 P.M.,,0,2026,1500.0,1500.0,1508.9111739580298,1491.0888260419702,0.5714631174083814,0.4285368825916186,2.0,1.0
2026-03-27,89571,FINAL,Durfee,4122,12.0,1.0,North Quincy/Quincy,4287,11.0,0.0,Big Three,Patriot,4:15 P.M.,,0,2026,1500.0,1500.0,1508.9111739580298,1491.0888260419702,0.5714631174083814,0.4285368825916186,2.0,1.0
2026-03-27,93720,FINAL,Turners Falls,4396,2.0,0.0,Frontier,4146,14.0,1.0,Independent,Independent,,,0,2026,1500.0,1500.0,1456.0267813257121,1543.9732186742879,0.5714631174083814,0.4285368825916186,2.0,-12.0
2026-03-27,93722,FINAL,Northampton,4291,10.0,1.0,Easthampton,4130,3.0,0.0,Independent,Independent,,,0,2026,1500.0,1500.0,1526.7335218740895,1473.2664781259105,0.5714631174083814,0.4285368825916186,2.0,7.0
2026-03-27,92341,UPCOMING,Seekonk,4344,,,Fairhaven,4133,,,South Coast,South Coast,3:45 P.M.,,0,2026,1519.5164503795268,1552.1949684984359,,,0.5249069838454741,0.4750930161545259,0.6928592752436361,
2026-03-27,91929,UPCOMING,Holbrook,4172,,,Hull,4184,,,Mayflower,South Shore,3:30 P.M.,,0,2026,1454.541041161479,1389.1552989850213,,,0.6602063070689005,0.3397936929310995,4.615429687058304,
2026-03-27,90302,UPCOMING,Malden Catholic,4228,,,Medford,4242,,,Catholic Conference,Greater Boston,4:00 P.M.,,0,2026,1500.0,1500.0,,,0.5714631174083814,0.4285368825916186,2.0,
2026-03-27,93712,FINAL,Hopkins,4531,16.0,1.0,Minnechaug,4254,7.0,0.0,Independent,Independent,,,0,2026,1500.0,1500.0,1529.602279129608,1470.397720870392,0.5714631174083814,0.4285368825916186,2.0,9.0
2026-03-27,90204,UPCOMING,Central Catholic,4081,,,St. Mary’s,4374,,,Merrimack Valley,Catholic Central,3:45 P.M.,,0,2026,1559.671116742633,1500.0,,,0.6527881857743253,0.3472118142256747,4.386844669705324,
2026-03-27,89519,FINAL,Dedham,4108,1.0,0.0,Braintree,4051,13.0,1.0,Tri-Valley,Bay State,4:00 P.M.,,0,2026,1500.0,1500.0,1456.0267813257121,1543.9732186742879,0.5714631174083814,0.4285368825916186,2.0,-12.0
2026-03-27,90183,UPCOMING,Martha’s Vineyard,4235,,,Cardinal Spellman,4075,,,Cape & Islands,Catholic Central,3:00 P.M.,,0,2026,1409.6558661423387,1538.717303034837,,,0.3881455058829967,0.6118544941170033,-3.16245747569993,
