team,elo
Nantucket,1695.1115893832784
Andover,1630.109051429742
Westwood,1620.585447461844
North Andover,1615.5383538620426
Acton-Boxborough,1608.9392500470647
Nashoba,1592.6540917131433
Wellesley,1592.2679244766705
Milton,1589.4646106755556
Taunton,1589.2684619599208
Concord-Carlisle,1587.2183516205341
Seekonk,1580.4372331016452
Ursuline,1575.7254279401889
Brookline,1573.9755053828303
Notre Dame (Hingham),1571.0866606903548
Methuen/Tewksbury,1567.6492566651584
Winchester,1560.0985011350947
Franklin,1552.5602039490248
Hingham,1548.3598954181896
Arlington Catholic,1542.5958597854383
Weston,1539.9144270797904
Westborough,1538.2604768043998
New Bedford,1537.9155709084916
Oliver Ames,1536.8710037479798
Scituate,1536.5236844828876
Hopkinton,1533.4732335579315
Needham,1533.3166952037768
Bishop Feehan,1532.3879215001655
Marshfield/Hanover,1531.2100109980374
Lexington,1531.0668380403997
Tantasqua,1530.380022303599
Newton North,1530.209083238162
Archbishop Williams,1530.12995695143
Belmont,1529.3636566744426
Apponequet,1528.963574404279
Barnstable,1528.4013648211376
Quincy,1527.5258290391619
Wayland,1526.081537760747
Martha’s Vineyard,1519.7097226094027
Duxbury,1519.5167748084991
Reading,1519.3800605145855
Sharon,1513.903304651693
Mansfield,1508.2520030899464
Chelmsford,1508.1513701576148
Dedham,1499.8938063623777
Old Rochester,1491.6362590613646
Wakefield/Wakefield,1490.7862751554185
Plymouth North/South,1490.136390293561
Shrewsbury,1488.9897554171569
Arlington/Watertown,1485.950103524827
Central Catholic,1477.506409959548
North Attleborough,1477.1582494204317
Foxborough,1475.0351358375071
Norton,1472.0377664420685
Lincoln-Sudbury,1470.2120537094645
Wakefield,1469.8010758502858
Natick,1469.5967684019856
Boston Latin,1469.3552977787508
Canton,1468.9344706111306
Framingham,1468.635227270364
Newton South,1465.5965729202096
Stoughton,1462.5164716373533
Sandwich,1462.246490051483
Norwell,1460.983124902797
Bishop Stang,1459.325984110429
North Quincy/Quincy,1457.5397141934636
Haverhill,1456.605107723942
Bridgewater-Raynham,1455.1887397193607
Advanced Math and Science,1451.4506037369756
Westford,1450.8360946700016
Notre Dame (T)/Dracut,1450.0273895444254
Lowell,1449.8502354560467
Billerica,1443.0051212070503
Attleboro,1441.8029913992823
Durfee,1439.708206840966
Holliston/Medway,1438.618419059847
Bishop Fenwick,1435.540683263132
Weymouth,1430.389391962267
Woburn,1429.4890231763773
Medfield,1428.598289355184
Wachusett,1414.7980500247256
Pembroke,1411.2317007662002
Malden Catholic,1402.4408713283399
Braintree,1400.3316511420571
Walpole,1380.966054121058
Stoneham,1379.8532502635733
Nauset,1347.8139222809302
