team,elo
St. Mary’s,1676.435958114753
Cardinal Spellman,1662.405599879162
Seekonk,1600.8568491325113
Newton North,1572.8668129229554
Bishop Fenwick,1566.174755582706
Wellesley,1564.2121802560082
Bishop Feehan,1563.6295414322924
Braintree,1561.4866100621705
Ipswich,1560.7161744043797
Oliver Ames,1558.6955478353143
Scituate,1556.7881227100083
Manchester Essex,1556.5100789775247
Somerset Berkley,1555.8730799140474
Dennis-Yarmouth,1554.3138116684713
Triton,1550.288465835074
Billerica,1550.161452140988
Peabody,1549.5917614067798
Needham,1543.3222333727788
Hopkinton,1537.165705129718
Old Rochester,1536.7898986769642
Norton,1536.1004435033099
Canton,1535.2989462905357
Foxborough,1533.858471262134
Nauset,1533.6224676953395
Arlington Catholic,1530.5577846764068
King Philip,1530.4815809299148
Central Catholic,1528.979772104289
Sharon,1527.9937194128786
Marshfield,1527.1596419249945
Southeastern,1523.8983033222257
Whitman-Hanson,1519.7575161013694
Milton,1505.231456372292
Hingham,1505.073092264845
Newburyport,1502.7555
Essex Tech,1502.7555
Hamilton-Wenham,1502.7555
North Reading,1502.7555
Natick,1499.1553157359044
Malden Catholic,1495.1561774450415
Dighton-Rehoboth,1487.3220161523302
Attleboro,1477.5172805871216
Chelmsford,1476.5312278957113
Hanover,1476.3149094914365
North Quincy/Quincy,1475.163467798555
Franklin,1475.0294190700854
Martha’s Vineyard,1471.8885323046604
Mansfield,1471.6525287378663
Stoughton,1470.2120537094645
Tri-County,1469.9503683537764
Medfield,1469.4105564966903
Holliston,1468.3452948702823
Archbishop Williams,1461.6214988787083
Brookline,1461.1170511139298
West Bridgewater,1460.674333781788
Silver Lake,1459.0317497087915
Swampscott,1455.9192385932204
North Andover,1455.349547859012
Pentucket,1455.222534164926
Bishop Stang,1453.5437868917054
St. John Paul II,1451.1971883315287
Lynnfield,1449.0009210224753
North Attleborough,1446.8154521646857
Fairhaven,1446.735317085701
Framingham,1446.1020933267098
Amesbury,1444.7948255956205
Weymouth,1442.3487016891268
Walpole,1431.7125451481245
Apponequet,1431.0370052566584
Ursuline,1409.1872711752383
Fontbonne,1401.4403921734981
Cristo Rey,1321.820062074487
