team,elo
Newton North,1641.8659006880562
Hingham/Hull,1608.8306878089627
Andover,1603.9902211822177
Marshfield,1572.3063446206113
Medford/Somerville,1564.175622454827
Westford,1561.4989064848883
Tewksbury,1557.456214679743
Central Catholic,1555.5208468127441
Wilmington/Bedford,1553.1870933403713
Mansfield,1545.4989830089926
Brockton/Spellman/Stoughton,1541.7171570565702
Medway/Milford/Millis,1537.5004160404646
Hamilton-Wenham/Manchester Essex,1536.8865311860575
Marlborough,1533.8087269428277
Reading,1530.1938113220276
North Andover,1529.9249225323415
Beverly,1529.5355853279052
Hopkinton,1525.5803123160388
Bridgewater-Raynham/West Bridgewater,1524.1797909988848
Chelmsford/B/T,1522.800087136096
Whitman-Hanson,1517.542272255468
Needham,1516.6035906605414
Haverhill,1510.8837616336054
Pembroke/Silver Lake,1510.7927350722218
Wakefield,1502.486453379454
Arlington,1500.8135466205463
Middleborough,1495.6075832974886
Burlington,1495.2119795771719
Salem,1485.7293290264079
Winchester,1485.0133113407744
King Philip,1480.958894828422
Melrose,1479.5442091008008
Foxborough,1478.4921221625857
Marblehead/Swampscott,1473.764414672095
Silver Lake,1473.0993912545118
Plymouth North/South,1471.9458041158894
Algonquin,1469.4912730571725
Wayland,1469.2970599535613
Stoneham,1466.7495953188545
Bishop Fenwick,1466.4134688139427
Natick,1464.2687693033927
Framingham,1463.5818557513433
Norwood,1455.0450485187655
Lowell,1454.5889070300098
Norton,1447.9116883460083
Cohasset/Norwell,1439.0530519445454
Hanover,1430.979224358612
Scituate,1427.7035405137233
Newton South,1394.4339171582174
Dracut,1392.996352749569
Methuen,1386.6886862436736
