team,elo
Algonquin,1749.6203591902624
Westwood,1722.1359123470568
Notre Dame (Hingham),1705.462702421086
Pembroke,1697.5505054314324
Milton,1681.0902500077505
Methuen/Tewksbury,1673.9746241300602
Bishop Stang,1663.5091074589593
Auburn,1661.1701068972404
HPNA,1658.4130124350188
King Philip,1658.2995540035806
St. Mary’s,1649.9583407556672
Beverly/Danvers,1649.0547922993178
Woburn,1645.7628796930733
Hingham,1640.5639350324939
Duxbury,1639.2050728134006
Acton-Boxboro,1630.585550678737
Bishop Feehan,1618.6603077010484
Reading,1609.6471463975474
Belmont,1600.9282630737869
Falmouth,1600.2157140098202
Winthrop,1593.4498685299754
Medfield,1588.9509595919826
Grafton,1585.8987499617597
Thayer,1583.830078023125
Winchester,1580.6360594473192
Dennis-Yarmouth,1576.6001132624647
Arlington Catholic,1572.8691627387036
Archbishop Williams,1572.1965618228273
Shrewsbury,1567.9289322825468
Billerica/Chelmsford,1567.0890449065946
Nobles,1566.9098215545212
Brookline,1562.1351793560884
Wakefield/Wilmington,1561.6909455132675
Braintree,1560.7435434670647
Canton,1559.7915412361913
Waltham,1557.541765694781
Phillips Andover,1552.525784487924
NSA,1550.7875082448347
Dedham,1548.3641034736168
Hanover,1546.7982576319314
Austin Prep,1540.1754109838662
Natick,1539.083378600028
Rivers,1537.2177946717331
Holderness,1534.048973703468
Hoosac School,1532.2229551388327
New Hampton,1531.1885350713574
Governor’s Academy,1526.8807774973873
Central Catholic,1526.7530160885244
Framingham,1525.7833107538042
Cushing,1524.3938012382696
Shawsheen/Bedford/Lowell,1524.25315138854
Dexter Southfield,1524.0239805297956
Berkshire,1522.8921157508757
Berwick,1521.7198972047777
Nauset/Monomoy,1519.614301144724
ADK United,1518.6863350691817
St. Paul’s,1516.9442511335358
Melrose,1513.8464231075052
Phillips Exeter,1511.1512249357638
Westford,1510.863703789949
Loomis Chaffee (Conn.),1508.089887090841
Millbrook (N.Y.),1502.7555
Vermont Academy,1502.7555
Tabor,1502.7555
Northfield Mt. Hermon,1502.7555
Kents Hill,1502.656338634814
Choate,1502.0596802720017
Williston Northampton,1501.4503329113804
Middlesex,1498.5698085897054
St. George’s,1497.8582725387355
Ursuline,1497.5304323893874
Deerfield,1497.4211129091589
Greenwich CD (Conn.),1496.0907769569576
Worcester Academy,1495.0300073340509
Wakefield,1494.0809547453766
St. Mark’s,1493.8527753874139
Hopkinton/Dover-Sherborn,1492.5312094015553
Pomfret,1491.9363105085934
Milton Academy,1490.8722585412315
Groton,1489.9418229735186
Mount St. Charles (R.I.),1489.6580039180565
Newton Country Day,1489.2497397272223
Portsmouth Abbey,1489.0621574773918
Norwell,1488.8924595350427
North Yarmouth (Maine),1485.7938163457432
Glens Falls (N.Y.),1483.4560224417423
Hopkinton,1483.1614129063391
Tilton,1482.620144554082
Brewster Academy,1482.0040751315207
Pope Francis,1479.4041480503613
South County Storm (R.I.).,1479.3519014309138
Sandwich,1476.9220477422941
BB&N,1476.6327283160185
Marshfield,1472.966397105843
Brooks,1471.5940857230255
La Salle (R.I.),1471.3706934496543
Mansfield/OA/Foxboro,1470.24813362303
Gloucester,1469.2012481935062
East Catholic (Conn.),1467.521651253267
Bishop Fenwick,1466.9379545379272
Smithfield (R.I.),1466.6994830992326
Martha’s Vineyard,1464.907796421138
Boston Latin,1461.019799374609
Malden Catholic,1456.8978244209309
Hebron (Maine),1456.2013789133134
Medford,1454.1034446738954
Arlington,1451.6301666142474
Lawrence Academy,1450.3583980950682
Lexington,1449.5399302281987
Quincy/North Quincy,1441.0624339348171
Winsor,1438.19276224928
Pingree,1435.6317007081443
Newton North,1432.1522626187916
Andover,1428.5200018708588
Masconomet,1420.2369876016596
Marblehead,1412.1381123596002
Newburyport,1411.5127112739233
Peabody,1411.3133774961864
Burlington,1404.608544891212
Stoneham/Wilmington,1403.4857462887142
Walpole,1398.4863633273067
Wellesley/L-S,1393.430139732805
Plymouth,1389.5191375805323
Longmeadow,1383.8002506638084
Wayland/Weston,1383.278227837394
Weymouth,1381.112845679318
East/West Bridgewater,1372.7047572253678
Needham,1372.035984150684
Whitman-Hanson/Silver Lake,1367.588660369212
Leominster,1366.0724404522603
Norwood,1360.9323142278893
Stoughton,1350.6257125498469
Franklin,1345.7924751723713
Barnstable,1341.3778787021074
Nantucket,1334.1554518949345
Latin Academy/Fontbonne,1323.647049058935
Concord-Carlisle,1312.1455149625142
Ashland/Medway,1308.915986058127
Cambridge,1304.5935968092847
Stoneham,1294.0100919570023
