date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2024-09-10,9184,FINAL,North Andover,4283,104,1,Methuen/Tewksbury,4246,81,0,Independent,Independent,,,0,2024,1500.0,1500.0,1540.8573984349698,1459.1426015650302,0.5714631174083814,0.4285368825916186,2.0,23.0
2024-09-27,10631,FINAL,Melrose,4244,57,0,Methuen/Tewksbury,4246,96,1,Independent,Independent,,,0,2024,1500.0,1459.1426015650302,1430.5177763812508,1528.6248251837794,0.6278530240509823,0.3721469759490177,3.634295937398792,-39.0
2024-10-18,11748,FINAL,Lowell,4216,81,0,Methuen/Tewksbury,4246,95,1,Independent,Independent,,,0,2024,1500.0,1528.6248251837794,1456.8832969360642,1571.7415282477152,0.5307225969738523,0.46927740302614773,0.8550069926488232,-14.0
2025-09-19,57448,FINAL,North Andover,4283,90,1,Central Catholic,4081,83,0,Independent,Independent,,,0,2025,1529.0244569514298,1501.65,1553.382260947158,1477.2921960042718,0.6095457440935265,0.39045425590647354,3.0949782780571877,7.0
2025-12-11,69495,FINAL,Peabody,4306,92,1,Salem,4336,86,0,Independent,Independent,,,0,2025,1501.65,1501.65,1526.6668280723868,1476.6331719276134,0.5714631174083814,0.4285368825916186,2.0,6.0
2025-12-11,69498,FINAL,East Boston,4125,39,0,Somerville,4351,50,1,Boston City,Independent,,,0,2025,1501.65,1501.65,1459.0490249833001,1544.2509750167,0.5714631174083814,0.4285368825916186,2.0,-11.0
2025-12-16,70062,FINAL,Medford,4242,92,1,Malden,4227,78,0,Independent,Independent,,,0,2025,1501.65,1501.65,1536.4649817324585,1466.8350182675417,0.5714631174083814,0.4285368825916186,2.0,14.0
2025-12-16,70069,FINAL,East Boston,4125,40,0,Archbishop Williams,4012,53,1,Boston City,Catholic Central,,,0,2025,1459.0490249833001,1501.65,1418.6202677989386,1542.0787571843616,0.510646443468959,0.48935355653104096,0.29596099933200093,-13.0
2025-12-16,70072,FINAL,Latin Academy,4202,86,0,Catholic Memorial,4080,92,1,Boston City,Independent,,,0,2025,1501.65,1501.65,1468.2895236007273,1535.0104763992729,0.5714631174083814,0.4285368825916186,2.0,-6.0
2025-12-16,70075,FINAL,Peabody,4306,81,0,Marblehead,4231,95,1,Independent,Independent,7:30 P.M.,,0,2025,1526.6668280723868,1501.65,1477.4092136350523,1550.9076144373346,0.606310946738063,0.39368905326193704,3.000673122895469,-14.0
2025-12-18,70872,FINAL,Latin Academy,4202,87,1,Arlington Catholic,4014,62,0,Boston City,Catholic Central,,,0,2025,1468.2895236007273,1501.65,1514.8221886607428,1455.1173349399846,0.523927907834257,0.476072092165743,0.6655809440290886,25.0
2025-12-18,70875,FINAL,O’Bryant,4298,84,1,East Boston,4125,61,0,Boston City,Boston City,,,0,2025,1501.65,1418.6202677989386,1531.9107166039728,1388.359551194966,0.6826074675533989,0.31739253244660115,5.3211892880424605,23.0
2025-12-19,70948,FINAL,Archbishop Williams,4012,86,1,Bishop Fenwick,4043,63,0,Catholic Central,Catholic Central,,,0,2025,1542.0787571843616,1501.65,1577.6148355045107,1466.113921679851,0.6272763120959207,0.3727236879040793,3.617150287374461,23.0
