team,elo
Scituate,1848.2924174173174
Shawsheen,1844.0245685589236
Tabor,1820.880666334131
King Philip,1820.8374922488122
St. John’s Prep,1817.2150496101722
West Boylston,1809.7554321358014
Fairhaven,1781.1708772281208
Tewksbury,1779.5620183255537
Xaverian,1777.546294098674
Randolph,1776.1299708046809
Uxbridge,1771.0975981889794
Lee,1765.4843462494389
Northbridge,1762.1976704995345
Stoneham,1760.9494357965125
Hudson,1760.093084205625
Catholic Memorial,1759.250744024823
North Attleborough,1757.2546975914602
Canton,1752.05705319769
Nashoba Valley Tech,1739.7226092337974
West Springfield,1734.946346278481
Burlington,1733.1181580883353
Bourne,1731.425687134704
Amesbury,1726.4774459093815
Natick,1725.2199842900359
Ashland,1724.8730604998395
Kingswood-Oxford,1720.1180493896752
Duxbury,1711.4688839792448
North Reading,1708.0906089901637
Masconomet,1706.7952094064574
Lincoln-Sudbury,1699.7199834157973
Winchester,1698.7309337721288
Whittier,1697.7452021062143
Foxborough,1697.5066869063166
St. Mary’s,1696.4751746553277
Milton,1694.4046541037505
Diman,1690.9123118741747
Clinton,1688.9082942242455
Norwell,1688.5966779002426
Marblehead,1687.2662051994373
Bishop Feehan,1686.2484286316953
Abington,1684.2072569033319
Milton Academy,1679.920170751727
Hoosac Valley,1677.1708421437472
Barnstable,1666.6622373836044
Leominster,1663.9434098837082
BB&N,1663.0786595094573
Bay Path,1662.37879809006
Cohasset,1659.7047937756126
Springfield Central,1658.7849712989241
Choate,1656.7881289643321
Williston Northampton,1656.2962640347776
Central Catholic,1647.7058821249736
Holderness,1640.7459915899697
Lynnfield,1640.3401541642215
Dartmouth,1635.5373146203408
Tri-County,1634.5534343477882
Millbury,1632.5713475026623
Lowell,1628.3114350781916
Dexter Southfield,1621.6879794751378
Wellesley,1618.3721135207843
Hingham,1617.5868473235225
KIPP,1617.2834206576006
Gloucester,1617.1020533370524
Medfield,1614.841750457321
Bishop Fenwick,1613.4973033802264
Westwood,1612.0792764537061
Marshfield,1611.7022035868022
Phillips Exeter,1608.4292202921483
Palmer,1607.5822268718152
Pentucket/Georgetown,1607.476890823495
Wachusett,1607.3727071171886
Mansfield,1607.3511157439914
Nantucket,1607.0316784196334
Auburn,1606.6246743646686
Middlesex,1606.621341001531
Danvers,1606.2413028171575
Wakefield,1604.9297185789562
Avon Old Farms,1604.4354844448508
Reading,1603.945817802323
Swampscott,1597.1252079751416
St. Paul’s,1595.3355760725653
Franklin County Tech,1594.7391825151747
Brunswick,1594.259524768347
Lynn English,1593.5434328463953
Medway,1592.6801307141848
Hanover,1591.3464699466833
Cheshire (Conn.),1590.837299978276
Billerica,1590.54305251439
Methuen,1589.9368652973747
West Bridgewater,1589.4383694593091
Nobles,1587.162231049289
Andover,1587.1276234427976
Chicopee Comprehensive,1585.586614679547
East Longmeadow,1582.4147326444995
Berkshire,1581.484918210871
Shrewsbury,1579.2395989237127
Mashpee,1576.4400884519368
Bellingham,1573.3467690457683
Milford,1572.4553851950584
Worcester North,1571.58539977531
Rivers,1570.7482759982845
Sandwich,1569.093858939883
Bridgewater-Raynham,1567.8244231856581
St. Mark’s,1566.2993318353654
Pingree,1564.7304483316923
Archbishop Williams,1563.7561420165805
Nashua South (N.H.),1563.7371544814682
Longmeadow,1563.4793258917232
Malden Catholic,1563.0522581009911
Ware,1559.9535102920736
Tyngsborough,1557.0711676433216
Bedford,1556.5711758658424
Wilbraham & Monson,1556.1899431216316
Grafton,1555.0924527492352
Canterbury,1554.3967913285055
Holliston,1553.6929364667587
TechBoston,1553.003405665395
Needham,1552.1287248052984
Plymouth South,1552.0795664062905
Lunenburg,1548.1151371106278
Frontier,1547.231420766251
Seekonk,1546.5894747367947
Belmont Hill,1545.9899593809755
Taft,1544.5333164646433
La Salle (R.I.),1544.3906371365745
Walpole,1542.0610487875067
Westfield,1540.46836784298
Iona Prep (N.Y.),1537.1549768043997
North Kingstown (R.I.),1537.1540472650172
Quabbin,1536.7019777243581
Narragansett,1536.297139367591
Quincy,1535.763767418451
Bishop Guertin (N.H.),1534.5291706088328
Bishop Hendricken (R.I.),1533.7049440592511
Central (R.I.),1532.791491168752
Arlington,1532.4202873665415
Weymouth,1531.1534444863253
Old Rochester,1530.7898046927241
Greater Lowell,1529.0543412479697
Bartlett,1528.2651543876184
Nashua North (N.H.),1528.098947668304
Putnam,1527.5968680355256
Burncoat,1526.0730275555675
Medford,1525.8391697632692
Cardinal Hayes (N.J.),1525.5353153321248
Worcester Academy,1524.9515540483021
Doherty,1524.8782395186092
Archbishop Stepinac (N.Y.),1524.5223241887882
Taunton,1524.1422942027825
Franklin,1523.5121839184023
Groton-Dunstable/North Middlesex,1522.8109108506576
St. Sebastian’s,1522.4514341638262
Chelmsford,1521.9069573599966
Smith Vocational,1521.250081982247
Blackstone Valley,1519.856781712464
Middleborough,1518.5499331169315
South Hadley,1516.3750854223933
Minnechaug,1515.8948968921775
Cape Cod Tech,1515.8731092934534
East Bridgewater,1514.7938141119655
Easthampton,1514.4295027883306
Pilgrim (R.I.),1514.2112026143734
Tantasqua,1513.976359281267
Austin Prep,1513.6862093231787
Pittsfield,1513.107799279376
Bristol-Plymouth,1512.7977642868675
Beverly,1512.3254665004215
Gardner,1511.925696881772
Newton North,1508.9927289114494
Greater Lawrence,1505.5827547143745
Carver,1504.9497814250917
Cheshire Academy,1503.9296751071427
Forman,1501.65
Capital Prep (Conn.),1501.65
Martha’s Vineyard,1501.0157679343833
Westerly (R.I.),1495.0748718336329
Woburn,1493.5381123768532
Oakmont,1493.4603937376496
Cathedral,1492.6333694566677
Winthrop,1492.4116266391256
Harvey (N.Y.),1492.156111333522
Minuteman,1492.1185909808519
Rockland,1490.9243064794566
Amherst-Pelham,1490.0162107019917
Cumberland (R.I.),1488.3893962807144
Wilmington,1486.0096014929613
Pomfret,1484.888725191501
North Quincy,1482.8167593989654
BC High,1482.0172579853793
Lawrence Academy,1481.172579730865
St. Francis Prep (N.Y.),1480.9195671804582
Concord-Carlisle,1480.4621195495536
Concord (N.H.),1480.4176381704576
Monty Tech,1480.133928347176
Weston,1479.667047166651
Greenfield,1478.5783250772135
Northeast,1478.411241791003
St. Thomas Aquinas (N.J.),1477.5027327440507
Triton,1477.1920668821817
Londonderry (N.H.),1476.412278319555
Albany Academy,1476.0198267707822
Westford,1475.5155342277244
Loomis Chaffee (Conn.),1475.4238283599152
Latin Academy,1475.3295624577534
Wayland,1473.40900092679
Bishop Stang,1473.138683806713
Monomoy,1472.219461251032
Bedford (Mich.),1471.636259101708
Bishop Brady (N.H.),1471.0256847265437
Merrimack (N.H.),1470.5470287378662
Millbrook (N.Y.),1470.5442287185926
Johnston (R.I.),1470.4575096212152
Shepherd Hill,1469.9754035742321
Blue Hills,1469.3849577166347
Roxbury Latin,1468.6885168306405
Keefe Tech,1467.445403048124
Cambridge,1467.2914334959057
Pembroke,1466.3622947600104
Oxford,1466.2754574289904
Groton-Dunstable/NM,1465.371076431307
Wareham,1463.872569307093
Melrose,1463.5770492253635
St. John’s (Shrewsbury),1462.633256765388
Maynard/AMSA,1461.7523324417116
Greenwich CD (Conn.),1461.3006789883964
Watertown,1459.2641761753503
Frederick Gunn (Conn.),1458.365502888686
Lynn Tech,1457.494746768464
Brockton,1457.2603653333208
St. Bernard’s,1457.1774373436074
Westborough,1456.6697555183384
Brewer (Maine),1454.6500846586928
Worcester South,1454.155830659763
Norton,1453.881623748242
Plymouth North,1453.5167032506301
English High,1452.3094212264634
Nauset,1451.8984164236365
Leicester,1451.5558805396593
Manchester Essex,1451.4551766440466
Marlborough,1450.2875515345793
Salisbury (Conn.),1449.1269593777938
Dennis-Yarmouth,1447.9723436997692
Central High (R.I.),1447.8196282491408
Lawrenceville (N.J.),1447.7051894634901
Algonquin,1447.2007752666527
Upper Cape,1445.9287935703949
Smithfield (R.I.),1444.9324569232638
David Prouty,1442.782578047108
Norwood,1441.5356525816392
Wahconah,1440.9869341715073
Hamilton-Wenham,1439.827427159215
Deerfield,1437.9804227584234
KIPP Academy,1436.2367546387513
Hebron (Maine),1434.289670385315
Falmouth,1433.901961632335
Joseph Case,1432.8049918746892
Springfield International,1432.631225302794
Holyoke,1425.167857493611
North Middlesex,1424.5530358714236
St. John Paul II,1422.3506245039546
Silver Lake,1421.3867852687406
Windham (N.H.),1420.4203804914282
North Andover,1420.3549474491813
O'Bryant,1419.8458074135922
Salem,1419.0912059047055
Millis,1418.74715877554
Newburyport,1418.1425197955232
Essex Tech,1416.756241431474
Monument Mtn.,1416.6784521040581
Thayer,1416.6228148469515
Blackstone-Millville/Hopedale,1416.1132316038368
Ayer Shirley,1413.7658783469026
Somerville,1412.6224570498364
Waltham,1412.222130889463
Belchertown,1410.7875254411788
Trinity-Pawling,1410.1643314693704
Hotchkiss,1410.0944194441588
Everett,1408.0994063114608
Chicopee,1407.5281349344023
South Shore Voc-Tech,1407.2698229080775
Capital Prep Harbor (Conn.),1406.3871830912344
Old Colony,1403.4999916863803
Attleboro,1402.7313990757789
Acton-Boxborough,1402.2903806293045
Somerset Berkley,1397.888362119104
Nipmuc,1396.8721673437735
Pathfinder,1396.7474852699404
Suffield Academy,1396.0765654755244
Nashoba,1394.4596399182838
Agawam,1393.070415182417
St. George’s,1392.3376086197381
Ipswich,1391.2639154858036
Hull,1389.7951912199956
Dedham,1381.646697837939
Oliver Ames,1381.1561392772276
Roxbury Prep,1374.0156383856454
Revere,1370.7980042903764
Brookline,1368.7336385101314
Kent,1368.388006481435
Apponequet,1365.97754130539
Littleton,1363.5312619838144
New Hampton,1363.186420968304
Boston Latin,1361.7734756811096
Dighton-Rehoboth/Bristol Aggie,1361.4156436840851
Whitman-Hanson,1352.9532220602573
Hamden Hall Country Day,1352.128483496372
Abby Kelley Foster,1350.328485654107
Greater New Bedford,1349.8125331719198
Durfee,1349.4712568549317
Commerce,1346.9000987922834
Dracut,1346.707800988661
Athol,1337.9083840149312
Stoughton,1335.4704644080687
Proctor,1334.1627393754834
Worcester Tech,1334.0704546090776
Governor’s Academy,1333.3118632431124
Brooks,1332.3411331072064
Sutton,1327.4434515416922
Lawrence,1327.0529480279424
St. Paul,1326.2187613718959
Murdock,1324.1526057765113
Drury,1324.0073482993485
Portsmouth Abbey,1322.1081721887883
Malden,1322.0059699098913
Groton-Dunstable,1321.8603223363527
Framingham,1317.9709227070623
Atlantis,1317.033356223221
Ludlow,1315.4035017991957
Newton South,1313.6052799367258
Southbridge,1310.6523869984885
Haverhill,1309.3624203056693
Peabody,1306.7409003697644
Lowell Catholic,1306.2470830838945
Dover-Sherborn,1304.121434719696
Arlington Catholic,1302.50172434264
Chelsea,1297.0831599212468
Hopkinton,1293.3592802614462
McCann Tech,1291.6724334225398
